axis,start_cm,end_cm,width_cm,peak_cm_median,n_peak_rows,n_sources,n_molecules,top_molecules,share_high_plus_medium_conf,anchor_hint_match,ambiguity_score,classification,contrast_support_note,notes
glycan_carbohydrate,880.0,902.0,22.0,891.0,2,1,1,monosaccharide-associated region,0.5,matched 860–920: glucose / polysaccharide C-O,0.667,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
glycan_carbohydrate,1025.0,1035.0,10.0,1030.0,1,1,1,C-O related carbohydrate region,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
glycan_carbohydrate,1333.0,1343.0,10.0,1338.0,1,1,1,proteins and carbohydrates; δ(CH,1.0,,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1109.0,1151.0,42.0,1125.5,10,5,6,lipid-associated signal; the carbon‒carbon bonding mode of lipids; stretch of breast lipid,1.0,matched 1140–1200: lipid CH2 twist,0.214,anchor,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1435.0,1455.0,20.0,1445.0,8,4,6,CH 2 /CH 3 bending vibration of lipids [ 20; bending vibration of lipids [ 20; lipid and protein,1.0,matched 1380–1450: lipid δCH2/CH3,0.25,anchor,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,853.0,887.0,34.0,870.0,3,2,2,lipid-associated mid region; phosphatidylcholine,0.667,,0.4,secondary,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1059.0,1070.0,11.0,1064.5,2,2,2,Lipids; membrane-associated region,1.0,,0.0,secondary,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1355.0,1405.0,50.0,1379.5,4,2,4,lipid-associated CH region; Lipids; sterol/hormone-associated CH region,0.75,matched 1380–1450: lipid δCH2/CH3,0.375,secondary,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1260.0,1330.0,70.0,1300.0,7,3,6,fatty acids; lipid unsaturation-associated region; lipid CH deformation region,1.0,,0.667,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,635.0,672.0,37.0,647.0,3,2,2,"fatty-acid-associated low-mid region; assigned to proteins Phe, Tyr, polysaccharides, Tyr, and lipids [carbonyl ν(C=O",0.667,,0.778,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,535.0,553.0,18.0,544.0,2,1,1,membrane-associated low-wavenumber band,0.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,691.0,710.0,19.0,700.5,2,1,1,sterol or hormone-like low aromatic region,0.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,810.0,822.0,12.0,816.0,2,1,1,sterol-like mid region,0.0,,0.333,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,920.0,943.0,23.0,931.5,2,1,1,fatty-acid-associated region,0.5,,0.333,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1520.0,1530.0,10.0,1525.0,1,1,1,conjugated lipid/hormone-like region,0.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1598.0,1608.0,10.0,1603.0,1,1,1,cholesterol,1.0,,0.125,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1645.0,1673.0,28.0,1659.0,2,1,1,cholesterol,1.0,,0.846,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,1741.0,1751.0,10.0,1746.0,1,1,1,C=O ester lipids,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,2852.0,2876.0,24.0,2864.0,2,1,2,CH₂/CH₃ stretching vibrations from lipids; C–H stretching vibrations in lipids 21 ]– [ 22,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,2935.0,2945.0,10.0,2940.0,1,1,1,CH-stretching vibrations from lipids,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
membrane_lipid,3010.0,3020.0,10.0,3015.0,1,1,1,unsaturated lipid signal,1.0,,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
nucleic_acid_backbone,1075.0,1090.0,15.0,1082.0,3,3,3,dATP; the symmetric stretching of PO- 2 in nucleic acids; phosphate-backbone-associated region,1.0,matched 1020–1080: C-N / ribose,0.286,anchor,↑ in HCC,
nucleic_acid_backbone,1566.0,1588.0,22.0,1577.5,4,3,4,differences in nucleic acid base vibrations; base-associated aromatic region; proteins and DNA,1.0,,0.4,anchor,↑ in HCC,
nucleic_acid_backbone,1045.0,1055.0,10.0,1050.0,1,1,1,DNA/RNA-associated mid region,1.0,matched 1020–1080: C-N / ribose,0.0,secondary,↑ in HCC,
nucleic_acid_backbone,745.0,813.0,68.0,782.0,10,5,6,nucleic acids; base-associated aromatic region; DNA/RNA-associated backbone region,0.9,,0.444,ambiguous,↑ in HCC,
nucleic_acid_backbone,611.0,621.0,10.0,616.0,2,2,2,intjnano International Journal of Nanomedicine Int J Nanomedicine Dove Press PMC6; intjnano International Journal of Nanomedicine Int J Nanomedicine Dove Press PMC1,1.0,,0.5,ambiguous,↑ in HCC,
nucleic_acid_backbone,1335.0,1367.0,32.0,1351.0,2,2,2,nucleic-acid-associated SERS region; nucleic acids and proteins,1.0,,0.5,ambiguous,↑ in HCC,
nucleic_acid_backbone,453.0,463.0,10.0,458.0,2,1,1,lipid and nucleic acid mixed signal,1.0,,0.0,ambiguous,↑ in HCC,
nucleic_acid_backbone,507.0,525.0,18.0,516.0,2,1,1,nucleic-acid-associated low-wavenumber feature,0.0,,0.0,ambiguous,↑ in HCC,
nucleic_acid_backbone,651.0,665.0,14.0,658.0,2,1,1,base/ribose-associated region,0.5,,0.0,ambiguous,↑ in HCC,
nucleic_acid_backbone,715.0,725.0,10.0,720.0,1,1,1,cholesterol and nucleic acid mixed signal,1.0,,0.5,ambiguous,↑ in HCC,
nucleic_acid_backbone,1005.0,1015.0,10.0,1010.0,1,1,1,nucleic-acid/aromatic overlap region,0.0,,0.0,ambiguous,↑ in HCC,
nucleic_acid_backbone,1695.0,1705.0,10.0,1700.0,1,1,1,protein backbone or nucleic acid vibrations,1.0,,0.0,ambiguous,↑ in HCC,
nucleic_acid_backbone,2929.0,2939.0,10.0,2934.0,1,1,1,nucleic acids]—ν as,1.0,,0.0,ambiguous,↑ in HCC,
protein_backbone,1540.0,1680.0,140.0,1637.5,22,10,17,protein-associated signal; amide (general); amide II adjacent protein region,1.0,,0.34,anchor,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,550.0,565.0,15.0,560.0,4,2,3,protein backbone-associated region; protein conformational change; disulfide S-S stretching,0.75,,0.0,secondary,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,662.0,689.0,27.0,680.0,3,2,2,protein-related low-mid region; phenylalanine,0.333,,0.25,secondary,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1500.0,1515.0,15.0,1507.5,2,2,2,protein aromatic/amide-adjacent region; amide I,1.0,matched 1450–1520: Amide II adjacent / δCH2,0.333,secondary,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1175.0,1343.0,168.0,1268.0,20,10,18,protein-associated signal; amide III; protein-associated mid region,1.0,matched 1200–1260: Amide III β-sheet,0.432,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1392.0,1470.0,78.0,1439.0,7,4,6,protein-associated signal; lipid-protein interaction; protein-associated CH region,1.0,matched 1450–1520: Amide II adjacent / δCH2,0.455,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,727.0,755.0,28.0,747.0,7,3,3,hemoglobin; protein-associated ring or backbone contribution; protein-associated signal,0.857,,0.632,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,814.0,866.0,52.0,830.0,7,3,5,tyrosine-like protein-associated region; tyrosine/protein-associated region; tyrosine ring breathing,0.714,,0.533,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1109.0,1140.0,31.0,1125.0,3,3,3,the C-C stretch of breast lipid; protein-associated mid region; its CN stretching,1.0,,0.6,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,884.0,910.0,26.0,892.0,3,2,2,protein-associated CH or backbone region; C–C stretching vibrations in protein backbones,0.667,,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,955.0,975.0,20.0,965.0,2,2,2,protein-associated skeletal region; phosphate ester signal,1.0,matched 920–980: C-C backbone,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,474.0,490.0,16.0,482.0,2,1,1,broad protein backbone feature,0.5,,0.571,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,608.0,625.0,17.0,616.5,2,1,1,protein-associated low-mid band,0.5,,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1782.0,1792.0,10.0,1787.0,1,1,1,C=O stretching vibrations in ester functional groups,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,1855.0,1865.0,10.0,1860.0,1,1,1,protein-associated signal,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,2915.0,2925.0,10.0,2920.0,1,1,1,protein-associated signal,1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
protein_backbone,3010.0,3020.0,10.0,3015.0,1,1,1,protein spectrum from TB liver,1.0,,0.5,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis",
purine_nucleotide,715.0,734.0,19.0,727.0,8,2,4,hypoxanthine; adenine/choline-adjacent region used cautiously; assigned to hypoxanthine,0.875,matched 720–740: adenine / hypoxanthine ring breathing,0.2,secondary,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,491.0,501.0,10.0,496.0,1,1,1,uric acid,1.0,,0.0,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,635.0,645.0,10.0,640.0,7,1,5,uric acid; uric acid [ 20; uric acid skeletal ring deformation,1.0,,0.385,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,884.0,894.0,10.0,889.0,1,1,1,uric acid according to the literature,1.0,,0.75,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,1200.0,1210.0,10.0,1205.0,1,1,1,uric acid or hypoxanthine,1.0,,0.667,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,1323.0,1333.0,10.0,1328.0,2,1,1,adenine,1.0,matched 1320–1380: purine N7-C8,0.714,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
purine_nucleotide,1652.0,1662.0,10.0,1657.0,1,1,1,amid I proteins and eventually uric acid,1.0,,0.857,ambiguous,"↑ in hepatitis, liver_cancer_unspecified",
pyrimidine_nucleotide,1605.0,1615.0,10.0,1610.0,1,1,1,"Phe, Tyr, and cytosine",1.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
redox_metabolite,479.0,489.0,10.0,484.0,4,1,1,ergothioneine,1.0,matched 450–540: S-S disulfide,0.333,secondary,↓ in NAFLD_NASH,
redox_metabolite,1502.0,1536.0,34.0,1519.0,2,2,2,carotenoids with various clinical implications such as cancer treatment; carotenoids,1.0,matched 1510–1530: carotenoid C=C,0.667,ambiguous,↓ in NAFLD_NASH,
redox_metabolite,1153.0,1163.0,10.0,1158.0,1,1,1,β-carotene,1.0,matched 1155–1160: carotenoid C-C,0.75,ambiguous,↓ in NAFLD_NASH,
redox_metabolite,1210.0,1220.0,10.0,1215.0,1,1,1,ergothioneine,1.0,,0.0,ambiguous,↓ in NAFLD_NASH,
redox_metabolite,1440.0,1450.0,10.0,1445.0,1,1,1,ergothioneine [ 39,1.0,,0.769,ambiguous,↓ in NAFLD_NASH,
