analyte,family,theme_1,p_1,theme_2,p_2,theme_3,p_3,entropy,margin,confidence
(-)-fructose,saccharide,Carbohydrate chemistry,0.377,Energy metabolism,0.1946,Nucleic chemistry,0.1678,0.9009,0.1824,0.0373
(-)-ribose,saccharide,Protein chemistry,0.2747,Carbohydrate chemistry,0.2603,Lipid chemistry,0.1978,0.9191,0.0144,0.0222
12-methyltetradecanoic acid,fatty_acid,Lipid chemistry,0.6583,Carbohydrate chemistry,0.1645,Protein chemistry,0.0713,0.6199,0.4937,0.2502
13-methylmyristicacid,fatty_acid,Lipid chemistry,0.5661,Protein chemistry,0.1655,Carbohydrate chemistry,0.1147,0.7315,0.4006,0.152
14-methylhexadecanoic acid,fatty_acid,Lipid chemistry,0.4694,Carbohydrate chemistry,0.2398,Protein chemistry,0.162,0.7718,0.2296,0.1071
14-methylpentadecanoic acid,fatty_acid,Lipid chemistry,0.7382,Carbohydrate chemistry,0.1069,Protein chemistry,0.0641,0.5314,0.6313,0.346
15-methylpalmiticacid,fatty_acid,Lipid chemistry,0.7319,Carbohydrate chemistry,0.111,Protein chemistry,0.066,0.54,0.6209,0.3367
2-deoxy-d-ribose,saccharide,Nucleic chemistry,0.2173,Lipid chemistry,0.1964,Carbohydrate chemistry,0.1952,0.984,0.0209,0.0035
a-dna,nucleic_acid,Nucleic chemistry,0.3611,Redox / pigments,0.1854,Energy metabolism,0.1491,0.916,0.1757,0.0303
acetoacetate,organic_acid,Protein chemistry,0.3554,Energy metabolism,0.2238,Redox / pigments,0.1574,0.912,0.1316,0.0313
acetyl coenzyme a,protein,Nucleic chemistry,0.2759,Redox / pigments,0.1776,Energy metabolism,0.1765,0.9658,0.0982,0.0094
acetyl-coa,cofactor,Nucleic chemistry,0.2215,Redox / pigments,0.2154,Carbohydrate chemistry,0.154,0.9865,0.0061,0.003
adenine,purine,Nucleic chemistry,0.2662,Redox / pigments,0.1937,Energy metabolism,0.1824,0.9667,0.0725,0.0089
alanine,amino_acid,Protein chemistry,0.441,Redox / pigments,0.231,Lipid chemistry,0.1095,0.841,0.21,0.0701
alb,protein,Protein chemistry,0.3313,Lipid chemistry,0.2346,Redox / pigments,0.1421,0.9274,0.0967,0.024
albumin,protein,Protein chemistry,0.2537,Lipid chemistry,0.1939,Redox / pigments,0.1542,0.9811,0.0599,0.0048
amylopectin,polysaccharide,Carbohydrate chemistry,0.3852,Protein chemistry,0.2919,Energy metabolism,0.1511,0.8184,0.0933,0.07
amylose,polysaccharide,Carbohydrate chemistry,0.3829,Protein chemistry,0.3058,Energy metabolism,0.1486,0.8057,0.0771,0.0744
arachidic acid,fatty_acid,Lipid chemistry,0.7309,Carbohydrate chemistry,0.1035,Protein chemistry,0.0763,0.5314,0.6275,0.3425
arachidonic acid,fatty_acid,Lipid chemistry,0.5071,Nucleic chemistry,0.2184,Redox / pigments,0.1181,0.7762,0.2887,0.1135
arginine,amino_acid,Carbohydrate chemistry,0.2697,Protein chemistry,0.1885,Lipid chemistry,0.1853,0.9622,0.0812,0.0102
ascorbate,organic_acid,Lipid chemistry,0.2722,Carbohydrate chemistry,0.2427,Nucleic chemistry,0.1606,0.9529,0.0295,0.0128
asparagine,amino_acid,Protein chemistry,0.3137,Redox / pigments,0.2167,Energy metabolism,0.2023,0.9232,0.0971,0.0241
aspartate,organic_acid,Protein chemistry,0.2857,Redox / pigments,0.2272,Carbohydrate chemistry,0.1647,0.9457,0.0585,0.0155
aspartic acid,organic_acid,Protein chemistry,0.2795,Energy metabolism,0.262,Carbohydrate chemistry,0.1638,0.907,0.0175,0.026
b-dna,nucleic_acid,Nucleic chemistry,0.3666,Redox / pigments,0.2084,Energy metabolism,0.156,0.8969,0.1581,0.0378
carbonic anhydrase,protein,Protein chemistry,0.3069,Redox / pigments,0.2471,Lipid chemistry,0.2058,0.9105,0.0598,0.0275
carotene,carotenoid,Protein chemistry,0.3752,Carbohydrate chemistry,0.2291,Redox / pigments,0.1639,0.8756,0.1461,0.0467
cellulose,polysaccharide,Carbohydrate chemistry,0.5,Protein chemistry,0.1952,Redox / pigments,0.1036,0.8005,0.3048,0.0998
ceramide,phospholipid,Lipid chemistry,0.591,Protein chemistry,0.1222,Redox / pigments,0.093,0.7304,0.4688,0.1593
chitin,polysaccharide,Carbohydrate chemistry,0.35,Protein chemistry,0.2254,Redox / pigments,0.1477,0.918,0.1246,0.0287
cholesterol,lipid,Lipid chemistry,0.2216,Nucleic chemistry,0.1793,Redox / pigments,0.1783,0.9892,0.0423,0.0024
cholesteryl linoleate,sterol,Lipid chemistry,0.388,Redox / pigments,0.175,Nucleic chemistry,0.168,0.9006,0.213,0.0386
cholesteryl oleate,sterol,Lipid chemistry,0.4594,Redox / pigments,0.1438,Protein chemistry,0.132,0.8566,0.3156,0.0659
cholesteryl palmitate,sterol,Lipid chemistry,0.4221,Redox / pigments,0.1546,Protein chemistry,0.14,0.8911,0.2675,0.046
cholesteryl stearate,sterol,Lipid chemistry,0.4274,Protein chemistry,0.1516,Redox / pigments,0.1423,0.8857,0.2759,0.0489
citrate,organic_acid,Nucleic chemistry,0.3288,Energy metabolism,0.2934,Protein chemistry,0.1606,0.8425,0.0353,0.0518
coenzyme a,cofactor,Nucleic chemistry,0.2215,Redox / pigments,0.2031,Protein chemistry,0.1672,0.9866,0.0184,0.003
collagen,protein,Protein chemistry,0.2427,Lipid chemistry,0.2075,Redox / pigments,0.1739,0.9766,0.0352,0.0057
creatinine,small_nitrogenous,Energy metabolism,0.4865,Nucleic chemistry,0.3217,Protein chemistry,0.0649,0.7175,0.1648,0.1374
cysteine,amino_acid,Energy metabolism,0.2676,Nucleic chemistry,0.2386,Protein chemistry,0.183,0.9481,0.0289,0.0139
cytochrome c,protein,Redox / pigments,0.4459,Nucleic chemistry,0.1756,Protein chemistry,0.1032,0.8683,0.2703,0.0587
cytosine,pyrimidine,Nucleic chemistry,0.4355,Carbohydrate chemistry,0.1882,Energy metabolism,0.1306,0.8676,0.2473,0.0577
diethylstilbestrol,sterol,Redox / pigments,0.3371,Lipid chemistry,0.1556,Energy metabolism,0.1313,0.9505,0.1815,0.0167
elaidic acid,organic_acid,Lipid chemistry,0.5412,Redox / pigments,0.1607,Protein chemistry,0.1314,0.7659,0.3805,0.1267
elastase,protein,Protein chemistry,0.2718,Redox / pigments,0.2403,Lipid chemistry,0.2039,0.9408,0.0315,0.0161
elastin,protein,Lipid chemistry,0.2581,Protein chemistry,0.2491,Redox / pigments,0.1888,0.9497,0.009,0.013
ergothioneine,cofactor,Nucleic chemistry,0.2527,Energy metabolism,0.2456,Protein chemistry,0.1865,0.9428,0.0071,0.0145
estradiol,sterol,Redox / pigments,0.252,Protein chemistry,0.2175,Nucleic chemistry,0.1704,0.973,0.0345,0.0068
estriol,sterol,Redox / pigments,0.2524,Protein chemistry,0.2179,Nucleic chemistry,0.1704,0.9727,0.0345,0.0069
estrone,sterol,Nucleic chemistry,0.2765,Energy metabolism,0.1934,Redox / pigments,0.1699,0.9648,0.0831,0.0097
ethinylestradiol,sterol,Nucleic chemistry,0.2493,Energy metabolism,0.1818,Protein chemistry,0.1759,0.9801,0.0675,0.005
ferritin,protein,Protein chemistry,0.2569,Redox / pigments,0.2228,Lipid chemistry,0.1852,0.9653,0.0342,0.0089
fructose,saccharide,Carbohydrate chemistry,0.3819,Energy metabolism,0.2007,Nucleic chemistry,0.1807,0.8869,0.1812,0.0432
fructose-6-phosphate,saccharide,Carbohydrate chemistry,0.3123,Protein chemistry,0.2096,Energy metabolism,0.1714,0.9398,0.1026,0.0188
fumarate,organic_acid,Lipid chemistry,0.3094,Protein chemistry,0.2255,Redox / pigments,0.1693,0.9211,0.0839,0.0244
galactose,saccharide,Protein chemistry,0.247,Carbohydrate chemistry,0.2323,Redox / pigments,0.1796,0.9655,0.0147,0.0085
glucosamine,saccharide,Protein chemistry,0.3034,Carbohydrate chemistry,0.2701,Redox / pigments,0.1911,0.9061,0.0333,0.0285
glucose,saccharide,Carbohydrate chemistry,0.2947,Protein chemistry,0.2889,Redox / pigments,0.1579,0.8955,0.0057,0.0308
glucose oxidase,protein,Lipid chemistry,0.2985,Protein chemistry,0.2057,Redox / pigments,0.1538,0.9432,0.0928,0.017
glutamate,amino_acid,Protein chemistry,0.3307,Redox / pigments,0.2141,Energy metabolism,0.1647,0.9209,0.1166,0.0262
glutathione,cofactor,Protein chemistry,0.2487,Energy metabolism,0.1952,Nucleic chemistry,0.1782,0.9677,0.0534,0.008
glutathione transferase,protein,Protein chemistry,0.2896,Lipid chemistry,0.2324,Redox / pigments,0.2053,0.9351,0.0572,0.0188
gluth,unknown,Energy metabolism,0.2286,Protein chemistry,0.2215,Nucleic chemistry,0.1691,0.9763,0.0071,0.0054
glycerol,polyol,Carbohydrate chemistry,0.3567,Protein chemistry,0.3075,Lipid chemistry,0.1222,0.8626,0.0492,0.049
glycine,amino_acid,Protein chemistry,0.3694,Carbohydrate chemistry,0.3198,Energy metabolism,0.1119,0.8441,0.0496,0.0576
glycogen,polysaccharide,Carbohydrate chemistry,0.2744,Protein chemistry,0.2397,Energy metabolism,0.1603,0.9358,0.0347,0.0176
guanine,purine,Nucleic chemistry,0.4594,Energy metabolism,0.2485,Protein chemistry,0.1698,0.759,0.2109,0.1107
hemoglobin,protein,Redox / pigments,0.4884,Nucleic chemistry,0.1742,Lipid chemistry,0.1034,0.8247,0.3142,0.0856
histidine,amino_acid,Carbohydrate chemistry,0.2142,Nucleic chemistry,0.2063,Protein chemistry,0.2017,0.9716,0.0079,0.0061
horseradish peroxidase,protein,Redox / pigments,0.4398,Protein chemistry,0.184,Nucleic chemistry,0.1347,0.8598,0.2558,0.0616
hydroxyproline,amino_acid,Protein chemistry,0.51,Carbohydrate chemistry,0.1465,Energy metabolism,0.1069,0.8051,0.3635,0.0994
hypoxanthine,purine,Nucleic chemistry,0.199,Energy metabolism,0.1959,Protein chemistry,0.1745,0.9939,0.0031,0.0012
insulin,protein,Protein chemistry,0.3573,Redox / pigments,0.1942,Lipid chemistry,0.1617,0.9182,0.1631,0.0292
isoleucine,amino_acid,Protein chemistry,0.29,Redox / pigments,0.2233,Carbohydrate chemistry,0.1596,0.9518,0.0667,0.014
keratin,protein,Lipid chemistry,0.3015,Protein chemistry,0.2299,Redox / pigments,0.1899,0.9328,0.0716,0.0203
lactalbumin,protein,Protein chemistry,0.285,Redox / pigments,0.2384,Lipid chemistry,0.2075,0.9343,0.0467,0.0187
lactate,organic_acid,Carbohydrate chemistry,0.443,Protein chemistry,0.2386,Redox / pigments,0.1247,0.8198,0.2043,0.0798
lactose,saccharide,Carbohydrate chemistry,0.4666,Protein chemistry,0.2294,Redox / pigments,0.1082,0.7986,0.2371,0.094
lauric acid,fatty_acid,Lipid chemistry,0.7728,Carbohydrate chemistry,0.1213,Protein chemistry,0.0582,0.4533,0.6515,0.4225
lectin,protein,Protein chemistry,0.3141,Redox / pigments,0.2406,Lipid chemistry,0.1628,0.9253,0.0735,0.0235
leucine,amino_acid,Protein chemistry,0.3257,Redox / pigments,0.1883,Carbohydrate chemistry,0.176,0.9386,0.1374,0.02
linoleic acid,fatty_acid,Lipid chemistry,0.5537,Nucleic chemistry,0.1435,Carbohydrate chemistry,0.0963,0.7684,0.4103,0.1282
major proteinase,protein,Protein chemistry,0.264,Lipid chemistry,0.2393,Redox / pigments,0.2189,0.9378,0.0247,0.0164
malic acid,organic_acid,Nucleic chemistry,0.2159,Redox / pigments,0.1906,Protein chemistry,0.1756,0.9848,0.0253,0.0033
mannose,saccharide,Carbohydrate chemistry,0.2973,Protein chemistry,0.2198,Energy metabolism,0.1578,0.9435,0.0775,0.0168
melanin,unknown,Redox / pigments,0.6925,Lipid chemistry,0.1071,Nucleic chemistry,0.0732,0.5962,0.5855,0.2796
methionine,amino_acid,Nucleic chemistry,0.2339,Energy metabolism,0.2182,Redox / pigments,0.2082,0.9491,0.0157,0.0119
myoglobin,protein,Redox / pigments,0.4936,Nucleic chemistry,0.1733,Protein chemistry,0.1052,0.8215,0.3204,0.0881
myristic acid,fatty_acid,Lipid chemistry,0.63,Carbohydrate chemistry,0.1174,Protein chemistry,0.1147,0.6643,0.5125,0.2115
n-acetyl- d-glucosamine,saccharide,Carbohydrate chemistry,0.3396,Protein chemistry,0.1963,Nucleic chemistry,0.1582,0.9149,0.1433,0.0289
n-acetylglucosamine,saccharide,Carbohydrate chemistry,0.3114,Protein chemistry,0.1859,Nucleic chemistry,0.1624,0.9467,0.1255,0.0166
oleate,lipid,Lipid chemistry,0.5838,Protein chemistry,0.1367,Carbohydrate chemistry,0.1358,0.7193,0.4472,0.1639
palmitic acid,fatty_acid,Lipid chemistry,0.6725,Carbohydrate chemistry,0.1115,Protein chemistry,0.0964,0.6132,0.5609,0.2601
palmitoleic acid,organic_acid,Lipid chemistry,0.6467,Protein chemistry,0.1107,Carbohydrate chemistry,0.0964,0.6563,0.536,0.2223
papain,protein,Protein chemistry,0.3247,Redox / pigments,0.2047,Energy metabolism,0.1398,0.9436,0.12,0.0183
pepsin,protein,Protein chemistry,0.2425,Redox / pigments,0.2157,Lipid chemistry,0.1827,0.9706,0.0268,0.0071
pepsinogen,protein,Protein chemistry,0.3177,Redox / pigments,0.2317,Lipid chemistry,0.1702,0.9281,0.086,0.0229
phenylalanine,amino_acid,Protein chemistry,0.5259,Redox / pigments,0.2082,Energy metabolism,0.1036,0.7614,0.3178,0.1255
phosphate,organic_acid,Protein chemistry,0.3171,Energy metabolism,0.2395,Carbohydrate chemistry,0.2258,0.8964,0.0776,0.0328
phosphatidylinositol,lipid,Nucleic chemistry,0.2164,Energy metabolism,0.2084,Protein chemistry,0.1977,0.9679,0.008,0.0069
phosphoenolpyruvate,organic_acid,Nucleic chemistry,0.3592,Energy metabolism,0.1951,Carbohydrate chemistry,0.1716,0.894,0.1641,0.0381
proline,amino_acid,Carbohydrate chemistry,0.3071,Protein chemistry,0.2741,Nucleic chemistry,0.1736,0.9027,0.033,0.0299
pyruvate,organic_acid,Nucleic chemistry,0.2884,Energy metabolism,0.2178,Protein chemistry,0.1559,0.9562,0.0706,0.0126
riboflavin,cofactor,Redox / pigments,0.3868,Nucleic chemistry,0.2679,Carbohydrate chemistry,0.1067,0.8628,0.1188,0.0531
riboﬂavin,cofactor,Redox / pigments,0.392,Nucleic chemistry,0.3405,Energy metabolism,0.1092,0.7932,0.0515,0.0811
serine,amino_acid,Protein chemistry,0.4459,Carbohydrate chemistry,0.1692,Energy metabolism,0.1317,0.8608,0.2767,0.0621
sphingomyelin,phospholipid,Lipid chemistry,0.6186,Redox / pigments,0.0928,Carbohydrate chemistry,0.0828,0.7109,0.5257,0.1788
stearate,lipid,Lipid chemistry,0.6651,Protein chemistry,0.1051,Carbohydrate chemistry,0.0919,0.6354,0.56,0.2425
succinic acid,organic_acid,Protein chemistry,0.3013,Energy metabolism,0.2892,Carbohydrate chemistry,0.1196,0.9204,0.0121,0.024
superoxide dismutases,protein,Protein chemistry,0.2659,Redox / pigments,0.2076,Lipid chemistry,0.1977,0.9568,0.0584,0.0115
t-rna,nucleic_acid,Nucleic chemistry,0.4114,Redox / pigments,0.1637,Carbohydrate chemistry,0.1566,0.8742,0.2477,0.0518
thaumatin,protein,Protein chemistry,0.3011,Redox / pigments,0.2317,Lipid chemistry,0.1637,0.9401,0.0694,0.018
thymine,pyrimidine,Redox / pigments,0.5079,Nucleic chemistry,0.3801,Lipid chemistry,0.0384,0.6191,0.1277,0.1934
tri-11-eicosenoin,unknown,Lipid chemistry,0.6326,Protein chemistry,0.0987,Nucleic chemistry,0.0923,0.6902,0.534,0.196
triarachidin,triglyceride,Lipid chemistry,0.8397,Carbohydrate chemistry,0.0968,Protein chemistry,0.0347,0.3417,0.7429,0.5528
tribehenin,triglyceride,Lipid chemistry,0.8228,Carbohydrate chemistry,0.0994,Protein chemistry,0.036,0.3765,0.7235,0.513
tricaprin,triglyceride,Lipid chemistry,0.7425,Carbohydrate chemistry,0.1115,Protein chemistry,0.0588,0.5249,0.631,0.3528
tricaproin,triglyceride,Lipid chemistry,0.5315,Protein chemistry,0.1483,Carbohydrate chemistry,0.1286,0.7868,0.3832,0.1133
tricaprylin,triglyceride,Lipid chemistry,0.5317,Protein chemistry,0.1544,Carbohydrate chemistry,0.1239,0.7849,0.3774,0.1144
trielaidin,triglyceride,Lipid chemistry,0.645,Redox / pigments,0.1328,Nucleic chemistry,0.0852,0.6397,0.5122,0.2324
trierucin,triglyceride,Lipid chemistry,0.7967,Carbohydrate chemistry,0.0803,Nucleic chemistry,0.0503,0.4476,0.7164,0.4401
trilaurin,triglyceride,Lipid chemistry,0.7874,Carbohydrate chemistry,0.1043,Protein chemistry,0.0478,0.4491,0.6831,0.4338
trilinolein,triglyceride,Lipid chemistry,0.6619,Nucleic chemistry,0.1257,Carbohydrate chemistry,0.0796,0.6315,0.5362,0.2439
trilinolenin,triglyceride,Lipid chemistry,0.6011,Nucleic chemistry,0.1766,Redox / pigments,0.0683,0.6981,0.4245,0.1815
trimyristin,triglyceride,Lipid chemistry,0.8144,Carbohydrate chemistry,0.1026,Protein chemistry,0.0405,0.3949,0.7118,0.4928
triolein,lipid,Lipid chemistry,0.5863,Carbohydrate chemistry,0.1383,Protein chemistry,0.1329,0.7151,0.448,0.167
triosephosphate isomerase,protein,Protein chemistry,0.2772,Redox / pigments,0.2135,Lipid chemistry,0.1852,0.9581,0.0637,0.0116
tripalmitin,triglyceride,Lipid chemistry,0.788,Carbohydrate chemistry,0.1014,Protein chemistry,0.0422,0.4505,0.6866,0.433
tripalmitolein,triglyceride,Lipid chemistry,0.7264,Protein chemistry,0.0782,Nucleic chemistry,0.0702,0.5643,0.6482,0.3165
tripetroselinin,triglyceride,Lipid chemistry,0.7296,Carbohydrate chemistry,0.0885,Protein chemistry,0.0666,0.5575,0.641,0.3228
tristearin,triglyceride,Lipid chemistry,0.8172,Carbohydrate chemistry,0.1028,Protein chemistry,0.0364,0.3909,0.7143,0.4977
trypsin,protein,Protein chemistry,0.27,Redox / pigments,0.2207,Lipid chemistry,0.2017,0.9519,0.0493,0.013
trypsin inhibitor,protein,Protein chemistry,0.2412,Lipid chemistry,0.1972,Redox / pigments,0.171,0.978,0.044,0.0053
trypsinogen,protein,Protein chemistry,0.2749,Redox / pigments,0.2195,Lipid chemistry,0.1936,0.9501,0.0554,0.0137
tryptophan,amino_acid,Redox / pigments,0.3508,Protein chemistry,0.3428,Energy metabolism,0.0954,0.8427,0.008,0.0552
tubulin,protein,Energy metabolism,0.3116,Protein chemistry,0.2208,Nucleic chemistry,0.179,0.9337,0.0908,0.0207
tyrosine,amino_acid,Protein chemistry,0.4466,Energy metabolism,0.2232,Nucleic chemistry,0.1463,0.7959,0.2234,0.0911
ubiquitin,protein,Protein chemistry,0.276,Lipid chemistry,0.232,Redox / pigments,0.2045,0.9403,0.0441,0.0165
uracil,pyrimidine,Nucleic chemistry,0.5596,Carbohydrate chemistry,0.1651,Redox / pigments,0.1257,0.7333,0.3945,0.1492
urate,purine,Nucleic chemistry,0.2379,Carbohydrate chemistry,0.211,Energy metabolism,0.1699,0.9702,0.0269,0.0071
ure,unknown,Protein chemistry,0.624,Redox / pigments,0.186,Carbohydrate chemistry,0.0883,0.6493,0.438,0.2188
urea,small_nitrogenous,Protein chemistry,0.6505,Redox / pigments,0.2207,Lipid chemistry,0.0707,0.5552,0.4298,0.2893
vaccenic acid,organic_acid,Lipid chemistry,0.6566,Protein chemistry,0.1086,Carbohydrate chemistry,0.0949,0.65,0.548,0.2298
valine,amino_acid,Protein chemistry,0.3198,Redox / pigments,0.176,Carbohydrate chemistry,0.1444,0.9523,0.1438,0.0153
xanthine,purine,Nucleic chemistry,0.4053,Energy metabolism,0.2209,Protein chemistry,0.1682,0.8584,0.1844,0.0574
xylanase,protein,Carbohydrate chemistry,0.3701,Protein chemistry,0.2972,Energy metabolism,0.143,0.8382,0.0729,0.0599
α-chymotrypsinogen a (type ii),protein,Protein chemistry,0.2684,Redox / pigments,0.2509,Lipid chemistry,0.1996,0.9377,0.0175,0.0167
α-linolenic acid,fatty_acid,Lipid chemistry,0.5255,Nucleic chemistry,0.2055,Carbohydrate chemistry,0.0918,0.7694,0.3199,0.1211
α-phosphatidylcholine,unknown,Lipid chemistry,0.5732,Carbohydrate chemistry,0.1034,Nucleic chemistry,0.1028,0.7604,0.4699,0.1374
α-phosphatidylethanolamine,unknown,Lipid chemistry,0.6137,Protein chemistry,0.1088,Carbohydrate chemistry,0.1039,0.7058,0.5049,0.1805
β-carotene,carotenoid,Protein chemistry,0.3604,Carbohydrate chemistry,0.2064,Redox / pigments,0.1968,0.8944,0.154,0.0381
β-d-glucose,saccharide,Protein chemistry,0.3124,Carbohydrate chemistry,0.2938,Redox / pigments,0.16,0.8708,0.0186,0.0404
