analyte,family,n_spectra,expected_motifs,primary_motif,expected_themes,top_component,top_component_share,n_active_components,predicted_motif,motif_rank,motif_top1,motif_top3,predicted_theme,theme_rank,theme_top1,theme_top3,theme_confidence,expected_theme_share,top_theme_share,nearest_analytes,labelled
14-methylpentadecanoic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,16,0.4243,13,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.7376,0.4376,0.4376,"15-methylpalmiticacid, tricaprin, trilaurin",True
15-methylpalmiticacid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.4428,10,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.7305,0.4382,0.4382,"14-methylpentadecanoic acid, tricaprin, tripalmitin",True
2-deoxy-d-ribose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,20,0.1895,14,nucleic_backbone_phosphate,3,False,True,Monosaccharide + Phosphate,1,True,True,0.1998,0.1385,0.1385,"(+)-fucose, cholesterol, (+)-galactose",True
a-dna,nucleic_acid,1,purine_ring_breathing|pyrimidine_ring|nucleic_backbone_phosphate,purine_ring_breathing,Purine|Pyrimidine|Monosaccharide + Phosphate,23,0.1967,18,pyrimidine_ring,1,True,True,Purine,1,True,True,0.1696,0.1279,0.1279,"b-dna, t-rna, urate",True
acetoacetate,organic_acid,4,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,22,0.3232,11,carboxylate_organic_acid,1,True,True,Organic acid,1,True,True,0.1822,0.137,0.137,"glutamate, asparagine, aspartate",True
acetyl coenzyme a,protein,1,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,3,0.3341,18,purine_ring_breathing,3,False,True,Purine,3,False,True,0.2174,0.0892,0.1525,"estrone, ethinylestradiol, hypoxanthine",True
acetyl-coa,cofactor,3,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,3,0.2001,23,purine_ring_breathing,3,False,True,Purine,6,False,False,0.16,0.0542,0.1122,"coenzyme a, hypoxanthine, ethinylestradiol",True
adenine,purine,4,purine_ring_breathing,purine_ring_breathing,Purine,3,0.4715,14,sterol_ring_system,2,False,True,Purine,1,True,True,0.2146,0.1594,0.1594,"estrone, acetyl coenzyme a, ethinylestradiol",True
alanine,amino_acid,5,aromatic_ring_residue|amino_acid_zwitterion,aromatic_ring_residue,Aromatic residue|Free amino acid,11,0.4822,15,amino_acid_zwitterion,1,True,True,Free amino acid,1,True,True,0.1641,0.0957,0.0957,"isoleucine, leucine, serine",True
alb,protein,1,protein_amide_backbone,protein_amide_backbone,Protein backbone,1,0.1887,15,triglyceride_ester,3,False,True,Acyl lipid,3,False,True,0.2313,0.0718,0.1526,"albumin, glutathione transferase, insulin",True
albumin,protein,6,protein_amide_backbone,protein_amide_backbone,Protein backbone,1,0.1255,23,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.1899,0.0669,0.1285,"ferritin, pepsin, cholesterol",True
amylopectin,polysaccharide,2,polysaccharide_glycosidic,polysaccharide_glycosidic,Polysaccharide,18,0.4942,16,polysaccharide_glycosidic,1,True,True,Polysaccharide,1,True,True,0.2587,0.1922,0.1922,"amylose, xylanase, chitin",True
amylose,polysaccharide,2,polysaccharide_glycosidic,polysaccharide_glycosidic,Polysaccharide,18,0.4674,16,polysaccharide_glycosidic,1,True,True,Polysaccharide,1,True,True,0.254,0.1863,0.1863,"amylopectin, xylanase, (+)-xylose",True
arachidic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,16,0.525,8,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.7308,0.4634,0.4634,"palmitic acid, stearate, tripetroselinin",True
arachidonic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,7,0.5546,10,fatty_acyl_chain,1,True,True,Acyl lipid,1,True,True,0.5045,0.3173,0.3173,"trilinolenin, α-linolenic acid, linoleic acid",True
arginine,amino_acid,5,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,21,0.4801,21,amino_acid_zwitterion,1,True,True,Monosaccharide + Phosphate,3,False,True,0.2643,0.0907,0.1679,"fructose-6-phosphate, n-acetylglucosamine, histidine",True
ascorbate,organic_acid,4,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,20,0.2682,10,fatty_acyl_chain,13,False,False,Acyl lipid,10,False,False,0.2656,0.0154,0.1899,"cholesterol, glucose oxidase, 2-deoxy-d-ribose",True
asparagine,amino_acid,1,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,22,0.3384,11,carboxylate_organic_acid,2,False,True,Organic acid,2,False,True,0.1856,0.1436,0.1556,"glutamate, aspartate, acetoacetate",True
aspartate,organic_acid,1,amino_acid_zwitterion|carboxylate_organic_acid,carboxylate_organic_acid,Free amino acid|Organic acid,22,0.3083,16,carboxylate_organic_acid,1,True,True,Flavin + Porphyrin,2,False,True,0.1662,0.1035,0.1306,"glutamate, asparagine, isoleucine",True
aspartic acid,organic_acid,1,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,14,0.483,9,carboxylate_organic_acid,2,False,True,Organic acid,2,False,True,0.2636,0.1378,0.2208,"succinic acid, phosphate, asparagine",True
b-dna,nucleic_acid,1,purine_ring_breathing|pyrimidine_ring|nucleic_backbone_phosphate,purine_ring_breathing,Purine|Pyrimidine|Monosaccharide + Phosphate,23,0.1701,17,pyrimidine_ring,1,True,True,Purine,1,True,True,0.1769,0.133,0.133,"a-dna, t-rna, urate",True
carbonic anhydrase,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3482,19,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2005,0.1232,0.1577,"pepsinogen, lectin, thaumatin",True
carotene,carotenoid,1,carotenoid_polyene,carotenoid_polyene,Carotenoid,18,0.2939,11,carotenoid_polyene,1,True,True,Carotenoid,1,True,True,0.1774,0.1349,0.1349,"β-carotene, (+)-trehalose, glucosamine",True
cellulose,polysaccharide,1,polysaccharide_glycosidic,polysaccharide_glycosidic,Polysaccharide,18,0.6046,11,polysaccharide_glycosidic,1,True,True,Polysaccharide,1,True,True,0.2845,0.1991,0.1991,"lactose, lactate, (+)-lactose",True
ceramide,phospholipid,2,,,,1,0.413,11,triglyceride_ester,99,False,False,Acyl lipid,99,False,False,0.5905,0.0,0.3695,"stearate, myristic acid, sphingomyelin",False
chitin,polysaccharide,1,polysaccharide_glycosidic,polysaccharide_glycosidic,Polysaccharide,18,0.3665,15,polysaccharide_glycosidic,1,True,True,Polysaccharide,1,True,True,0.2365,0.1614,0.1614,"(+)-xylose, xylanase, glycogen",True
cholesterol,lipid,4,sterol_ring_system,sterol_ring_system,Sterol,1,0.2664,22,triglyceride_ester,4,False,False,Acyl lipid,6,False,False,0.2158,0.0467,0.1371,"albumin, glucose oxidase, ascorbate",True
cholesteryl linoleate,sterol,1,fatty_acyl_chain|sterol_ring_system,sterol_ring_system,Acyl lipid|Sterol,1,0.3497,17,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.382,0.2392,0.2392,"cholesteryl palmitate, cholesteryl oleate, glucose oxidase",True
cholesteryl oleate,sterol,1,fatty_acyl_chain|sterol_ring_system,sterol_ring_system,Acyl lipid|Sterol,1,0.4833,18,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.4553,0.2533,0.2533,"cholesteryl palmitate, α-phosphatidylcholine, cholesteryl stearate",True
cholesteryl palmitate,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,1,0.4555,17,triglyceride_ester,3,False,True,Acyl lipid,4,False,False,0.4175,0.0351,0.2531,"cholesteryl stearate, cholesteryl oleate, elaidic acid",True
cholesteryl stearate,sterol,1,fatty_acyl_chain|sterol_ring_system,sterol_ring_system,Acyl lipid|Sterol,1,0.4711,16,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.4233,0.2575,0.2575,"cholesteryl palmitate, elaidic acid, cholesteryl oleate",True
citrate,organic_acid,4,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,23,0.395,15,carboxylate_organic_acid,1,True,True,Organic acid,1,True,True,0.2554,0.1993,0.1993,"pyruvate, phosphoenolpyruvate, aspartic acid",True
coenzyme a,cofactor,4,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,3,0.2273,23,purine_ring_breathing,3,False,True,Purine,6,False,False,0.1498,0.0554,0.105,"acetyl-coa, hypoxanthine, ethinylestradiol",True
collagen,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3477,17,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2027,0.118,0.1573,"pepsin, triosephosphate isomerase, glutathione transferase",True
creatinine,small_nitrogenous,3,oxopurine_carbonyl,oxopurine_carbonyl,Purine,19,0.8428,10,sulfur_heterocycle_thione,2,False,True,Sulfur metabolite,2,False,True,0.4272,0.1907,0.2206,"tubulin, xanthine, cysteine",True
cysteine,amino_acid,3,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,15,0.217,11,oxopurine_carbonyl,2,False,True,Purine,2,False,True,0.2557,0.1171,0.1867,"methionine, estrone, ethinylestradiol",True
cytochrome c,protein,2,porphyrin_macrocycle,porphyrin_macrocycle,Flavin + Porphyrin,8,0.2542,17,porphyrin_macrocycle,1,True,True,Flavin + Porphyrin,1,True,True,0.3365,0.2389,0.2389,"hemoglobin, myoglobin, horseradish peroxidase",True
cytosine,pyrimidine,1,pyrimidine_ring,pyrimidine_ring,Pyrimidine,17,0.4335,7,pyrimidine_ring,1,True,True,Pyrimidine,1,True,True,0.2554,0.214,0.214,"uracil, phosphoenolpyruvate, t-rna",True
diethylstilbestrol,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,8,0.2855,15,porphyrin_macrocycle,2,False,True,Flavin + Porphyrin,3,False,True,0.1998,0.0894,0.1325,"estradiol, estriol, acetyl-coa",True
elaidic acid,organic_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,1,0.6321,7,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.5383,0.3073,0.3073,"ceramide, sphingomyelin, cholesteryl stearate",True
elastase,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3379,22,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.1985,0.1133,0.1542,"α-chymotrypsinogen a (type ii), trypsin, trypsinogen",True
elastin,protein,1,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3871,17,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2515,0.1371,0.1891,"ubiquitin, major proteinase, superoxide dismutases",True
ergothioneine,cofactor,3,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,21,0.2955,14,sulfur_heterocycle_thione,1,True,True,Sulfur metabolite,1,True,True,0.2058,0.1297,0.1297,"phosphatidylinositol, ethinylestradiol, estrone",True
estradiol,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,3,0.1673,15,sterol_ring_system,1,True,True,Sterol,1,True,True,0.1201,0.0829,0.0829,"estriol, diethylstilbestrol, coenzyme a",True
estriol,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,3,0.1669,15,sterol_ring_system,1,True,True,Sterol,1,True,True,0.1203,0.0831,0.0831,"estradiol, diethylstilbestrol, coenzyme a",True
estrone,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,3,0.3159,16,purine_ring_breathing,2,False,True,Purine,2,False,True,0.1912,0.0874,0.133,"ethinylestradiol, acetyl coenzyme a, hypoxanthine",True
ethinylestradiol,sterol,1,sterol_ring_system,sterol_ring_system,Sterol,3,0.1657,17,purine_ring_breathing,3,False,True,Purine,5,False,False,0.1709,0.0611,0.118,"estrone, hypoxanthine, phosphatidylinositol",True
ferritin,protein,3,protein_amide_backbone|porphyrin_macrocycle,porphyrin_macrocycle,Protein backbone|Flavin + Porphyrin,2,0.2338,22,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.1789,0.093,0.1287,"trypsinogen, trypsin, elastase",True
fructose,saccharide,3,nucleic_backbone_phosphate|glycan_co_network,nucleic_backbone_phosphate,Monosaccharide + Phosphate,20,0.628,9,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.4409,0.2863,0.2863,"(-)-fructose, fructose-6-phosphate, (-)-arabinose",True
fructose-6-phosphate,saccharide,4,nucleic_backbone_phosphate|glycan_co_network,nucleic_backbone_phosphate,Monosaccharide + Phosphate,21,0.5266,15,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.332,0.23,0.23,"(-)-fructose, fructose, arginine",True
fumarate,organic_acid,1,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,22,0.4749,5,amino_acid_zwitterion,4,False,False,Acyl lipid,4,False,False,0.3094,0.0973,0.2286,"elaidic acid, cholesteryl stearate, cholesteryl palmitate",True
galactose,saccharide,3,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,4,0.2866,15,carotenoid_polyene,2,False,True,Monosaccharide + Phosphate,1,True,True,0.189,0.1356,0.1356,"(+)-galactosamine, (-)-ribose, glucose",True
glucosamine,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,18,0.2189,15,polysaccharide_glycosidic,3,False,True,Polysaccharide,2,False,True,0.1591,0.0814,0.0993,"chitin, glycogen, leucine",True
glucose,saccharide,4,protein_amide_backbone|glycan_co_network,glycan_co_network,Monosaccharide + Phosphate|Protein backbone,12,0.3617,18,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2068,0.1646,0.1646,"(+)-glucose, (+)-maltose, β-d-glucose",True
glucose oxidase,protein,2,protein_amide_backbone|glycan_co_network,glycan_co_network,Monosaccharide + Phosphate|Protein backbone,2,0.2425,18,triglyceride_ester,3,False,True,Acyl lipid,2,False,True,0.2935,0.0793,0.2048,"keratin, cholesteryl linoleate, elastin",True
glutamate,amino_acid,6,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,22,0.3131,22,amino_acid_zwitterion,1,True,True,Free amino acid,1,True,True,0.1851,0.1366,0.1366,"aspartate, asparagine, acetoacetate",True
glutathione,cofactor,4,protein_amide_backbone|sulfur_heterocycle_thione,sulfur_heterocycle_thione,Protein backbone|Sulfur metabolite,22,0.1693,23,amino_acid_zwitterion,4,False,False,Free amino acid,6,False,False,0.1354,0.0555,0.0924,"gluth, coenzyme a, malic acid",True
glutathione transferase,protein,2,protein_amide_backbone|sulfur_heterocycle_thione,sulfur_heterocycle_thione,Protein backbone|Sulfur metabolite,2,0.2894,20,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2276,0.1062,0.1672,"lactalbumin, major proteinase, triosephosphate isomerase",True
gluth,unknown,1,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,22,0.2716,14,amino_acid_zwitterion,3,False,True,Purine,5,False,False,0.1485,0.0702,0.0961,"glutathione, coenzyme a, methionine",True
glycerol,polyol,4,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,11,0.213,12,polysaccharide_glycosidic,2,False,True,Monosaccharide + Phosphate,1,True,True,0.2312,0.144,0.144,"(+)-raffinose pentahydrate, (+)-maltose, (+)-mannose",True
glycine,amino_acid,5,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,9,0.7108,20,amino_acid_zwitterion,1,True,True,Free amino acid,1,True,True,0.3228,0.1467,0.1467,"(+)-xylose, chitin, phosphate",True
glycogen,polysaccharide,4,polysaccharide_glycosidic,polysaccharide_glycosidic,Polysaccharide,18,0.2633,23,polysaccharide_glycosidic,1,True,True,Polysaccharide,1,True,True,0.1564,0.113,0.113,"chitin, xylanase, amylose",True
guanine,purine,4,purine_ring_breathing|oxopurine_carbonyl,oxopurine_carbonyl,Purine,15,0.6622,10,oxopurine_carbonyl,1,True,True,Purine,1,True,True,0.4522,0.3549,0.3549,"xanthine, cysteine, methionine",True
hemoglobin,protein,2,porphyrin_macrocycle,porphyrin_macrocycle,Flavin + Porphyrin,8,0.3186,15,porphyrin_macrocycle,1,True,True,Flavin + Porphyrin,1,True,True,0.3679,0.2733,0.2733,"myoglobin, cytochrome c, horseradish peroxidase",True
histidine,amino_acid,5,aromatic_ring_residue,aromatic_ring_residue,Aromatic residue,21,0.3057,22,amino_acid_zwitterion,7,False,False,Monosaccharide + Phosphate,6,False,False,0.2183,0.0434,0.1378,"urate, malic acid, phosphatidylinositol",True
horseradish peroxidase,protein,2,protein_amide_backbone|porphyrin_macrocycle,porphyrin_macrocycle,Protein backbone|Flavin + Porphyrin,8,0.2769,20,porphyrin_macrocycle,1,True,True,Flavin + Porphyrin,1,True,True,0.3122,0.2251,0.2251,"hemoglobin, myoglobin, cytochrome c",True
hydroxyproline,amino_acid,3,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,11,0.6139,15,amino_acid_zwitterion,1,True,True,Free amino acid,1,True,True,0.2633,0.1291,0.1291,"serine, alanine, acetoacetate",True
hypoxanthine,purine,3,purine_ring_breathing|oxopurine_carbonyl,oxopurine_carbonyl,Purine,3,0.1359,22,sulfur_heterocycle_thione,2,False,True,Purine,1,True,True,0.1582,0.1041,0.1041,"ethinylestradiol, coenzyme a, estrone",True
insulin,protein,1,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.1739,19,aromatic_ring_residue,2,False,True,Acyl lipid,4,False,False,0.1577,0.0721,0.1087,"pepsinogen, ferritin, papain",True
isoleucine,amino_acid,3,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,12,0.1587,20,carotenoid_polyene,2,False,True,Acyl lipid,5,False,False,0.1335,0.0584,0.0909,"leucine, valine, aspartate",True
keratin,protein,1,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.2694,17,triglyceride_ester,3,False,True,Acyl lipid,3,False,True,0.2968,0.086,0.2088,"major proteinase, glutathione transferase, glucose oxidase",True
lactalbumin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.2654,21,protein_amide_backbone,1,True,True,Acyl lipid,3,False,True,0.2029,0.096,0.1527,"α-chymotrypsinogen a (type ii), elastase, glutathione transferase",True
lactate,organic_acid,3,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,18,0.5289,12,polysaccharide_glycosidic,4,False,False,Monosaccharide + Phosphate,5,False,False,0.2458,0.0548,0.1712,"(+)-lactose, lactose, cellulose",True
lactose,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,18,0.5484,13,polysaccharide_glycosidic,2,False,True,Monosaccharide + Phosphate,1,True,True,0.2555,0.1837,0.1837,"lactate, (+)-lactose, cellulose",True
lauric acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,16,0.5049,10,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.7716,0.4693,0.4693,"trimyristin, tristearin, trilaurin",True
lectin,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.38,22,protein_amide_backbone,1,True,True,Protein backbone,1,True,True,0.1694,0.1366,0.1366,"thaumatin, pepsinogen, carbonic anhydrase",True
leucine,amino_acid,4,amino_acid_zwitterion,amino_acid_zwitterion,Free amino acid,12,0.1704,19,protein_amide_backbone,2,False,True,Monosaccharide + Phosphate,5,False,False,0.1219,0.0696,0.0853,"isoleucine, valine, (+)-sucrose",True
linoleic acid,fatty_acid,1,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,7,0.3761,11,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.5535,0.326,0.326,"α-linolenic acid, trilinolein, trilinolenin",True
major proteinase,protein,3,protein_amide_backbone,protein_amide_backbone,Protein backbone,2,0.3962,19,protein_amide_backbone,1,True,True,Acyl lipid,2,False,True,0.2333,0.1211,0.1787,"trypsin, trypsinogen, ubiquitin",True
malic acid,organic_acid,2,carboxylate_organic_acid,carboxylate_organic_acid,Organic acid,21,0.1531,17,pyrimidine_ring,2,False,True,Monosaccharide + Phosphate,4,False,False,0.1682,0.0674,0.1162,"urate, pyruvate, histidine",True
mannose,saccharide,3,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,18,0.2252,22,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2117,0.1455,0.1455,"(+)-mannose, n-acetylglucosamine, n-acetyl- d-glucosamine",True
melanin,unknown,4,porphyrin_macrocycle,porphyrin_macrocycle,Flavin + Porphyrin,8,0.6827,10,porphyrin_macrocycle,1,True,True,Flavin + Porphyrin,1,True,True,0.5181,0.3606,0.3606,"myoglobin, hemoglobin, cytochrome c",True
methionine,amino_acid,4,sulfur_heterocycle_thione,sulfur_heterocycle_thione,Sulfur metabolite,22,0.2221,15,sulfur_heterocycle_thione,1,True,True,Purine,2,False,True,0.2194,0.0932,0.1594,"cysteine, estrone, coenzyme a",True
myoglobin,protein,2,porphyrin_macrocycle,porphyrin_macrocycle,Flavin + Porphyrin,8,0.3563,16,porphyrin_macrocycle,1,True,True,Flavin + Porphyrin,1,True,True,0.3725,0.2772,0.2772,"hemoglobin, cytochrome c, horseradish peroxidase",True
myristic acid,fatty_acid,2,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,16,0.5626,10,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.63,0.4245,0.4245,"palmitic acid, stearate, arachidic acid",True
n-acetyl- d-glucosamine,saccharide,1,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,21,0.3382,17,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2621,0.1835,0.1835,"n-acetylglucosamine, mannose, (+)-mannose",True
n-acetylglucosamine,saccharide,3,glycan_co_network,glycan_co_network,Monosaccharide + Phosphate,21,0.2424,19,glycan_co_network,1,True,True,Monosaccharide + Phosphate,1,True,True,0.2332,0.1622,0.1622,"n-acetyl- d-glucosamine, mannose, (+)-mannose",True
oleate,lipid,5,fatty_acyl_chain|sterol_ring_system,sterol_ring_system,Acyl lipid|Sterol,1,0.4611,15,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.5835,0.306,0.306,"triolein, palmitoleic acid, vaccenic acid",True
palmitic acid,fatty_acid,2,fatty_acyl_chain,fatty_acyl_chain,Acyl lipid,16,0.5122,12,triglyceride_ester,2,False,True,Acyl lipid,1,True,True,0.6724,0.4312,0.4312,"myristic acid, arachidic acid, stearate",True
