canonical_id,n_spectra,mean_pairwise_cosine,mean_bin_std,max_bin_std
tyrosine,4,0.95696,0.003374,0.059619
ubiquitin,3,0.97001,0.003621,0.028935
uracil,4,0.99047,0.00157,0.02702
urate,3,0.99991,0.000255,0.001392
urea,4,0.83024,0.004063,0.118498
vaccenic acid,1,1.0,0.0,0.0
valine,5,0.90542,0.006843,0.052284
xanthine,3,0.99976,0.000258,0.004264
xylanase,3,0.97105,0.003671,0.022557
α-chymotrypsinogen a (type ii),3,0.96299,0.004455,0.021314
α-linolenic acid,1,1.0,0.0,0.0
α-phosphatidylcholine,1,1.0,0.0,0.0
α-phosphatidylethanolamine,1,1.0,0.0,0.0
β-carotene,1,1.0,0.0,0.0
β-d-glucose,1,1.0,0.0,0.0
