source_dataset,source_identifier,analyte_label,canonical_name,modality,excitation_nm,inclusion_status,identifier_sha1
RamanBioLib,ramanbiolib::37,serine,serine,raman,785.0,included_in_X_ref,fbd8cb24febf
RamanBioLib,ramanbiolib::38,tryptophan,tryptophan,raman,785.0,included_in_X_ref,23385f765feb
RamanBioLib,ramanbiolib::39,tyrosine,tyrosine,raman,785.0,included_in_X_ref,3667c6f7f06e
RamanBioLib,ramanbiolib::40,valine,valine,raman,785.0,included_in_X_ref,27cc261287cf
RamanBioLib,ramanbiolib::41,lactose,lactose,raman,785.0,included_in_X_ref,5595a04fedfd
RamanBioLib,ramanbiolib::42,lauric acid,lauric acid,raman,785.0,included_in_X_ref,1920b97a5bdd
RamanBioLib,ramanbiolib::43,malic acid,malic acid,raman,785.0,included_in_X_ref,dbea335f1124
RamanBioLib,ramanbiolib::44,myristic acid,myristic acid,raman,785.0,included_in_X_ref,cdd6983f7a75
RamanBioLib,ramanbiolib::45,n-acetyl- d-glucosamine,n-acetyl- d-glucosamine,raman,785.0,included_in_X_ref,d867e2f6d83b
RamanBioLib,ramanbiolib::46,oleate,oleate,raman,785.0,included_in_X_ref,39ad3a944a36
RamanBioLib,ramanbiolib::47,palmitic acid,palmitic acid,raman,785.0,included_in_X_ref,cd698b04f832
RamanBioLib,ramanbiolib::48,phosphoenolpyruvate,phosphoenolpyruvate,raman,785.0,included_in_X_ref,e74c79da0ab4
RamanBioLib,ramanbiolib::49,pyruvate,pyruvate,raman,785.0,included_in_X_ref,eaf625de027f
RamanBioLib,ramanbiolib::50,riboﬂavin,riboﬂavin,raman,785.0,included_in_X_ref,49f0651a6306
RamanBioLib,ramanbiolib::51,stearate,stearate,raman,785.0,included_in_X_ref,bb7c7a060226
RamanBioLib,ramanbiolib::52,succinic acid,succinic acid,raman,785.0,included_in_X_ref,17c21723d569
RamanBioLib,ramanbiolib::53,thymine,thymine,raman,785.0,included_in_X_ref,7c59a5cd329f
RamanBioLib,ramanbiolib::54,trilinolein,trilinolein,raman,785.0,included_in_X_ref,fb95fb6d8dd7
RamanBioLib,ramanbiolib::55,trilinolenin,trilinolenin,raman,785.0,included_in_X_ref,c7b004094227
RamanBioLib,ramanbiolib::56,triolein,triolein,raman,785.0,included_in_X_ref,873407a0d871
RamanBioLib,ramanbiolib::57,uracil,uracil,raman,785.0,included_in_X_ref,9b6c5e8a48e8
RamanBioLib,ramanbiolib::58,vaccenic acid,vaccenic acid,raman,785.0,included_in_X_ref,494d12d632ce
RamanBioLib,ramanbiolib::59,β-carotene,β-carotene,raman,785.0,included_in_X_ref,5085b0554f20
RamanBioLib,ramanbiolib::60,β-d-glucose,β-d-glucose,raman,785.0,included_in_X_ref,ac6e9aefb953
RamanBioLib,ramanbiolib::61,arachidonic acid,arachidonic acid,raman,532.0,included_in_X_ref,4f4d86778b16
RamanBioLib,ramanbiolib::62,α-linolenic acid,α-linolenic acid,raman,532.0,included_in_X_ref,2038b1d79c70
RamanBioLib,ramanbiolib::63,arachidic acid,arachidic acid,raman,532.0,included_in_X_ref,e640ee6d9249
RamanBioLib,ramanbiolib::64,cholesterol,cholesterol,raman,532.0,included_in_X_ref,fd39972998b1
RamanBioLib,ramanbiolib::65,cholesteryl linoleate,cholesteryl linoleate,raman,532.0,included_in_X_ref,c9c9667d0f6d
RamanBioLib,ramanbiolib::66,cholesteryl oleate,cholesteryl oleate,raman,532.0,included_in_X_ref,88688c0cbf18
RamanBioLib,ramanbiolib::67,cholesteryl palmitate,cholesteryl palmitate,raman,532.0,included_in_X_ref,1e14446b2adb
RamanBioLib,ramanbiolib::68,cholesteryl stearate,cholesteryl stearate,raman,532.0,included_in_X_ref,ff93e4f438e2
RamanBioLib,ramanbiolib::69,elaidic acid,elaidic acid,raman,532.0,included_in_X_ref,599bd99be74a
RamanBioLib,ramanbiolib::70,linoleic acid,linoleic acid,raman,532.0,included_in_X_ref,caf482c1b360
RamanBioLib,ramanbiolib::71,myristic acid,myristic acid,raman,532.0,included_in_X_ref,5a61146fddea
RamanBioLib,ramanbiolib::72,oleate,oleate,raman,532.0,included_in_X_ref,d3b16f2b64f3
RamanBioLib,ramanbiolib::73,palmitic acid,palmitic acid,raman,532.0,included_in_X_ref,b513e66692ab
RamanBioLib,ramanbiolib::74,α-phosphatidylcholine,α-phosphatidylcholine,raman,532.0,included_in_X_ref,a97acdf84c28
RamanBioLib,ramanbiolib::75,α-phosphatidylethanolamine,α-phosphatidylethanolamine,raman,532.0,included_in_X_ref,19fe969b7f23
RamanBioLib,ramanbiolib::76,palmitoleic acid,palmitoleic acid,raman,532.0,included_in_X_ref,eb6adce09506
RamanBioLib,ramanbiolib::77,stearate,stearate,raman,532.0,included_in_X_ref,a1bd2a7e28c6
RamanBioLib,ramanbiolib::78,sphingomyelin,sphingomyelin,raman,532.0,included_in_X_ref,8bf5fa769a2b
RamanBioLib,ramanbiolib::79,triarachidin,triarachidin,raman,1064.0,included_in_X_ref,e0d91936b03a
RamanBioLib,ramanbiolib::80,tribehenin,tribehenin,raman,1064.0,included_in_X_ref,3b0dd6ee70fa
RamanBioLib,ramanbiolib::81,tricaproin,tricaproin,raman,1064.0,included_in_X_ref,1677de0b7fb2
RamanBioLib,ramanbiolib::82,tricaprin,tricaprin,raman,1064.0,included_in_X_ref,9619f269283a
RamanBioLib,ramanbiolib::83,tricaprylin,tricaprylin,raman,1064.0,included_in_X_ref,7db9b410ac5e
RamanBioLib,ramanbiolib::84,trielaidin,trielaidin,raman,1064.0,included_in_X_ref,a97746cc7919
RamanBioLib,ramanbiolib::85,tri-11-eicosenoin,tri-11-eicosenoin,raman,1064.0,included_in_X_ref,018de314a3a5
RamanBioLib,ramanbiolib::86,trierucin,trierucin,raman,1064.0,included_in_X_ref,eb465841c6de
RamanBioLib,ramanbiolib::87,trilinolein,trilinolein,raman,1064.0,included_in_X_ref,976ec9b57ab2
RamanBioLib,ramanbiolib::88,trilinolenin,trilinolenin,raman,1064.0,included_in_X_ref,796b644b6ef7
RamanBioLib,ramanbiolib::89,trilaurin,trilaurin,raman,1064.0,included_in_X_ref,aed4d3eccdf8
RamanBioLib,ramanbiolib::90,trimyristin,trimyristin,raman,1064.0,included_in_X_ref,bfa90ad54d01
RamanBioLib,ramanbiolib::91,triolein,triolein,raman,1064.0,included_in_X_ref,5879751f628f
RamanBioLib,ramanbiolib::92,tripalmitin,tripalmitin,raman,1064.0,included_in_X_ref,2229e7d78147
RamanBioLib,ramanbiolib::93,tripetroselinin,tripetroselinin,raman,1064.0,included_in_X_ref,8f7ce30a8231
RamanBioLib,ramanbiolib::94,tripalmitolein,tripalmitolein,raman,1064.0,included_in_X_ref,1fcccb921be1
RamanBioLib,ramanbiolib::95,tristearin,tristearin,raman,1064.0,included_in_X_ref,0a8c7f10c72f
RamanBioLib,ramanbiolib::96,lactalbumin,lactalbumin,raman,488.0,included_in_X_ref,a6f3172997e6
RamanBioLib,ramanbiolib::97,lactalbumin,lactalbumin,raman,532.0,included_in_X_ref,4473d8aa691f
RamanBioLib,ramanbiolib::98,lactalbumin,lactalbumin,raman,1064.0,included_in_X_ref,397cb13fcd79
RamanBioLib,ramanbiolib::99,albumin,albumin,raman,488.0,included_in_X_ref,ad3313bdf2c7
RamanBioLib,ramanbiolib::100,albumin,albumin,raman,532.0,included_in_X_ref,e3ec8fef3f1f
RamanBioLib,ramanbiolib::101,albumin,albumin,raman,1064.0,included_in_X_ref,9130fbc395a7
RamanBioLib,ramanbiolib::102,carbonic anhydrase,carbonic anhydrase,raman,488.0,included_in_X_ref,727803d32c50
RamanBioLib,ramanbiolib::103,carbonic anhydrase,carbonic anhydrase,raman,532.0,included_in_X_ref,91dae1de2b7b
RamanBioLib,ramanbiolib::104,carbonic anhydrase,carbonic anhydrase,raman,1064.0,included_in_X_ref,96ce603b229e
RamanBioLib,ramanbiolib::105,collagen,collagen,raman,488.0,included_in_X_ref,fc8fc17a1594
RamanBioLib,ramanbiolib::106,collagen,collagen,raman,532.0,included_in_X_ref,368095e190a4
RamanBioLib,ramanbiolib::107,collagen,collagen,raman,1064.0,included_in_X_ref,914a86bcf1b7
RamanBioLib,ramanbiolib::108,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,488.0,included_in_X_ref,682e288cbdcc
RamanBioLib,ramanbiolib::109,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,532.0,included_in_X_ref,083f3421528e
RamanBioLib,ramanbiolib::110,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,1064.0,included_in_X_ref,a32bbc1efc3f
RamanBioLib,ramanbiolib::111,elastase,elastase,raman,488.0,included_in_X_ref,b6a51191ba8b
RamanBioLib,ramanbiolib::112,elastase,elastase,raman,532.0,included_in_X_ref,671ccadf0329
RamanBioLib,ramanbiolib::113,elastase,elastase,raman,1064.0,included_in_X_ref,b5250e80de5d
RamanBioLib,ramanbiolib::114,ferritin,ferritin,raman,488.0,included_in_X_ref,1770ef7da4fe
RamanBioLib,ramanbiolib::115,ferritin,ferritin,raman,532.0,included_in_X_ref,240ca2ad13dd
RamanBioLib,ramanbiolib::116,ferritin,ferritin,raman,1064.0,included_in_X_ref,cca440c79846
RamanBioLib,ramanbiolib::117,glutathione transferase,glutathione transferase,raman,488.0,included_in_X_ref,e322974b6586
RamanBioLib,ramanbiolib::118,glutathione transferase,glutathione transferase,raman,532.0,included_in_X_ref,d8cc6b96c7f6
RamanBioLib,ramanbiolib::119,horseradish peroxidase,horseradish peroxidase,raman,488.0,included_in_X_ref,880531faf31a
RamanBioLib,ramanbiolib::120,horseradish peroxidase,horseradish peroxidase,raman,532.0,included_in_X_ref,7deec9f14680
RamanBioLib,ramanbiolib::121,hemoglobin,hemoglobin,raman,488.0,included_in_X_ref,a9e582490c2c
RamanBioLib,ramanbiolib::122,hemoglobin,hemoglobin,raman,532.0,included_in_X_ref,115812a72846
RamanBioLib,ramanbiolib::123,lectin,lectin,raman,488.0,included_in_X_ref,01b4a36d51ce
RamanBioLib,ramanbiolib::124,lectin,lectin,raman,532.0,included_in_X_ref,172f9acf5742
RamanBioLib,ramanbiolib::125,lectin,lectin,raman,1064.0,included_in_X_ref,ce1dda1d3e47
RamanBioLib,ramanbiolib::126,myoglobin,myoglobin,raman,488.0,included_in_X_ref,356b95385b41
RamanBioLib,ramanbiolib::127,myoglobin,myoglobin,raman,532.0,included_in_X_ref,c4e356a14d38
RamanBioLib,ramanbiolib::128,papain,papain,raman,488.0,included_in_X_ref,e1a22231dd52
RamanBioLib,ramanbiolib::129,papain,papain,raman,532.0,included_in_X_ref,3442966462ee
RamanBioLib,ramanbiolib::130,papain,papain,raman,1064.0,included_in_X_ref,f831a5e5f23f
RamanBioLib,ramanbiolib::131,pepsin,pepsin,raman,488.0,included_in_X_ref,44a9a8c3e297
RamanBioLib,ramanbiolib::132,pepsin,pepsin,raman,532.0,included_in_X_ref,5bc4671b8c00
RamanBioLib,ramanbiolib::133,pepsin,pepsin,raman,1064.0,included_in_X_ref,8606945a10f7
RamanBioLib,ramanbiolib::134,pepsinogen,pepsinogen,raman,488.0,included_in_X_ref,121909179ff6
RamanBioLib,ramanbiolib::135,pepsinogen,pepsinogen,raman,532.0,included_in_X_ref,71289405ccdb
RamanBioLib,ramanbiolib::136,pepsinogen,pepsinogen,raman,1064.0,included_in_X_ref,2d55da5076f4
RamanBioLib,ramanbiolib::137,major proteinase,major proteinase,raman,488.0,included_in_X_ref,3af47b8c2eaf
RamanBioLib,ramanbiolib::138,major proteinase,major proteinase,raman,532.0,included_in_X_ref,a61fed597b12
RamanBioLib,ramanbiolib::139,major proteinase,major proteinase,raman,1064.0,included_in_X_ref,09dbfca2e6cc
RamanBioLib,ramanbiolib::140,superoxide dismutases,superoxide dismutases,raman,488.0,included_in_X_ref,b85f91983a39
RamanBioLib,ramanbiolib::141,superoxide dismutases,superoxide dismutases,raman,532.0,included_in_X_ref,337e2e4651df
RamanBioLib,ramanbiolib::142,superoxide dismutases,superoxide dismutases,raman,1064.0,included_in_X_ref,1b38a89e4a72
RamanBioLib,ramanbiolib::143,trypsinogen,trypsinogen,raman,488.0,included_in_X_ref,33ab5eb0c18a
RamanBioLib,ramanbiolib::144,trypsinogen,trypsinogen,raman,532.0,included_in_X_ref,d908e1b54069
RamanBioLib,ramanbiolib::145,trypsinogen,trypsinogen,raman,1064.0,included_in_X_ref,28eb64adfab7
RamanBioLib,ramanbiolib::146,trypsin inhibitor,trypsin inhibitor,raman,488.0,included_in_X_ref,24cc933b689c
RamanBioLib,ramanbiolib::147,trypsin inhibitor,trypsin inhibitor,raman,532.0,included_in_X_ref,299502458ae7
RamanBioLib,ramanbiolib::148,trypsin inhibitor,trypsin inhibitor,raman,1064.0,included_in_X_ref,57c424c55fc1
RamanBioLib,ramanbiolib::149,thaumatin,thaumatin,raman,488.0,included_in_X_ref,65efb56bcaa6
RamanBioLib,ramanbiolib::150,thaumatin,thaumatin,raman,532.0,included_in_X_ref,253509ac2f2d
RamanBioLib,ramanbiolib::151,thaumatin,thaumatin,raman,1064.0,included_in_X_ref,aff1d95fa112
RamanBioLib,ramanbiolib::152,triosephosphate isomerase,triosephosphate isomerase,raman,488.0,included_in_X_ref,64fc67c19840
RamanBioLib,ramanbiolib::153,triosephosphate isomerase,triosephosphate isomerase,raman,532.0,included_in_X_ref,0343dd4c3975
RamanBioLib,ramanbiolib::154,triosephosphate isomerase,triosephosphate isomerase,raman,1064.0,included_in_X_ref,91f00d2eafda
RamanBioLib,ramanbiolib::155,trypsin,trypsin,raman,488.0,included_in_X_ref,69a03715a435
RamanBioLib,ramanbiolib::156,trypsin,trypsin,raman,532.0,included_in_X_ref,8297dd76b8ae
RamanBioLib,ramanbiolib::157,trypsin,trypsin,raman,1064.0,included_in_X_ref,1cc639b82ea1
RamanBioLib,ramanbiolib::158,ubiquitin,ubiquitin,raman,488.0,included_in_X_ref,686d1e41b683
RamanBioLib,ramanbiolib::159,ubiquitin,ubiquitin,raman,532.0,included_in_X_ref,9baad3adb181
RamanBioLib,ramanbiolib::160,ubiquitin,ubiquitin,raman,1064.0,included_in_X_ref,c986770ae02e
RamanBioLib,ramanbiolib::161,glucose oxidase,glucose oxidase,raman,532.0,included_in_X_ref,2dfe8b04a44c
RamanBioLib,ramanbiolib::162,glucose oxidase,glucose oxidase,raman,1064.0,included_in_X_ref,9ef8ab4f6171
RamanBioLib,ramanbiolib::163,xylanase,xylanase,raman,488.0,included_in_X_ref,fcfcf4fc0808
RamanBioLib,ramanbiolib::164,xylanase,xylanase,raman,532.0,included_in_X_ref,526e61cd67bf
RamanBioLib,ramanbiolib::165,xylanase,xylanase,raman,1064.0,included_in_X_ref,3fc88423fdb6
RamanBioLib,ramanbiolib::166,cytochrome c,cytochrome c,raman,488.0,included_in_X_ref,ceb787d46078
RamanBioLib,ramanbiolib::167,cytochrome c,cytochrome c,raman,532.0,included_in_X_ref,15f3af0ce229
RamanBioLib,ramanbiolib::168,a-dna,a-dna,raman,514.5,included_in_X_ref,3f4bea538e39
RamanBioLib,ramanbiolib::169,b-dna,b-dna,raman,514.5,included_in_X_ref,f0206f4a0cbd
RamanBioLib,ramanbiolib::170,t-rna,t-rna,raman,488.0,included_in_X_ref,f48a158530fc
RamanBioLib,ramanbiolib::171,ceramide,ceramide,raman,1064.0,included_in_X_ref,689063239720
RamanBioLib,ramanbiolib::172,melanin,melanin,raman,785.0,included_in_X_ref,ddf24aa24e0c
RamanBioLib,ramanbiolib::173,melanin,melanin,raman,632.8,included_in_X_ref,365e3f436004
RamanBioLib,ramanbiolib::174,melanin,melanin,raman,514.5,included_in_X_ref,4fa987c7f157
RamanBioLib,ramanbiolib::175,melanin,melanin,raman,457.9,included_in_X_ref,96071215f304
RamanBioLib,ramanbiolib::176,2-deoxy-d-ribose,2-deoxy-d-ribose,raman,1064.0,included_in_X_ref,9ec19d5c9374
RamanBioLib,ramanbiolib::177,amylopectin,amylopectin,raman,1064.0,included_in_X_ref,cfd95c9b4eac
RamanBioLib,ramanbiolib::178,amylose,amylose,raman,1064.0,included_in_X_ref,e73f7b1b153b
RamanBioLib,ramanbiolib::179,(+)-galactose,(+)-galactose,raman,1064.0,included_in_X_ref,bfaa31c03bc3
RamanBioLib,ramanbiolib::180,(+)-glucose,(+)-glucose,raman,1064.0,included_in_X_ref,3ee87a63fea9
RamanBioLib,ramanbiolib::181,(+)-lactose,(+)-lactose,raman,1064.0,included_in_X_ref,520837a3dc00
RamanBioLib,ramanbiolib::182,(+)-maltose,(+)-maltose,raman,1064.0,included_in_X_ref,18601c06e7fe
RamanBioLib,ramanbiolib::183,(+)-raffinose pentahydrate,(+)-raffinose pentahydrate,raman,1064.0,included_in_X_ref,28f6c0227f50
RamanBioLib,ramanbiolib::184,(+)-sucrose,(+)-sucrose,raman,1064.0,included_in_X_ref,9d5f3488523f
RamanBioLib,ramanbiolib::185,(+)-xylose,(+)-xylose,raman,1064.0,included_in_X_ref,236d4529d527
RamanBioLib,ramanbiolib::186,(-)-fructose,(-)-fructose,raman,1064.0,included_in_X_ref,cd76b8635c68
RamanBioLib,ramanbiolib::187,(-)-ribose,(-)-ribose,raman,1064.0,included_in_X_ref,a0891eef58d5
RamanBioLib,ramanbiolib::188,glycogen,glycogen,raman,1064.0,included_in_X_ref,5602f8e04b8b
RamanBioLib,ramanbiolib::189,(+)-arabinose,(+)-arabinose,raman,1064.0,included_in_X_ref,a21ad8003e84
RamanBioLib,ramanbiolib::190,ceramide,ceramide,raman,850.0,included_in_X_ref,ebeecd0048a8
RamanBioLib,ramanbiolib::191,elastin,elastin,raman,1064.0,included_in_X_ref,ed9e58af6017
RamanBioLib,ramanbiolib::192,keratin,keratin,raman,1064.0,included_in_X_ref,15b8d11f37be
RamanBioLib,ramanbiolib::193,asparagine,asparagine,raman,488.0,included_in_X_ref,17652c79e04b
RamanBioLib,ramanbiolib::194,aspartic acid,aspartic acid,raman,488.0,included_in_X_ref,025276a45e72
RamanBioLib,ramanbiolib::195,glucosamine,glucosamine,raman,488.0,included_in_X_ref,af2d01f5fe3f
RamanBioLib,ramanbiolib::196,tubulin,tubulin,raman,532.0,included_in_X_ref,eceb801960f8
RamanBioLib,ramanbiolib::197,insulin,insulin,raman,633.0,included_in_X_ref,9fc0bfb38713
RamanBioLib,ramanbiolib::198,diethylstilbestrol,diethylstilbestrol,raman,532.0,included_in_X_ref,af9875a1a6c8
RamanBioLib,ramanbiolib::199,estradiol,estradiol,raman,532.0,included_in_X_ref,989df2bc687d
RamanBioLib,ramanbiolib::200,estriol,estriol,raman,532.0,included_in_X_ref,6b3e32d1b74e
RamanBioLib,ramanbiolib::201,estrone,estrone,raman,532.0,included_in_X_ref,f59dfff89bc9
RamanBioLib,ramanbiolib::202,ethinylestradiol,ethinylestradiol,raman,532.0,included_in_X_ref,d068a3ad98a4
gobbato_raman_metabolites,gobbato_raman_metabolites::AcCoA::01,acetyl-coa,acetyl-coa,raman,785.0,included_in_X_ref,87b560c59396
gobbato_raman_metabolites,gobbato_raman_metabolites::AcCoA::02,acetyl-coa,acetyl-coa,raman,785.0,included_in_X_ref,31953fbb4fff
gobbato_raman_metabolites,gobbato_raman_metabolites::AcCoA::03,acetyl-coa,acetyl-coa,raman,785.0,included_in_X_ref,dbba7d35d2a7
gobbato_raman_metabolites,gobbato_raman_metabolites::Acetoacet::01,acetoacetate,acetoacetate,raman,785.0,included_in_X_ref,b31d55c13c76
gobbato_raman_metabolites,gobbato_raman_metabolites::Acetoacet::02,acetoacetate,acetoacetate,raman,785.0,included_in_X_ref,af3cfe3a241f
gobbato_raman_metabolites,gobbato_raman_metabolites::Acetoacet::03,acetoacetate,acetoacetate,raman,785.0,included_in_X_ref,c493922c00b0
gobbato_raman_metabolites,gobbato_raman_metabolites::Ade::01,adenine,adenine,raman,785.0,included_in_X_ref,5f412c0c704d
gobbato_raman_metabolites,gobbato_raman_metabolites::Ade::02,adenine,adenine,raman,785.0,included_in_X_ref,ff848bae4b5e
gobbato_raman_metabolites,gobbato_raman_metabolites::Ade::03,adenine,adenine,raman,785.0,included_in_X_ref,bfeb5b5e35cb
gobbato_raman_metabolites,gobbato_raman_metabolites::Ala::01,alanine,alanine,raman,785.0,included_in_X_ref,4873f690ed82
gobbato_raman_metabolites,gobbato_raman_metabolites::Ala::02,alanine,alanine,raman,785.0,included_in_X_ref,c732dbfe2d8b
gobbato_raman_metabolites,gobbato_raman_metabolites::Ala::03,alanine,alanine,raman,785.0,included_in_X_ref,095b7fc8192b
gobbato_raman_metabolites,gobbato_raman_metabolites::Alb::01,albumin,albumin,raman,785.0,included_in_X_ref,77f39e2ab19a
gobbato_raman_metabolites,gobbato_raman_metabolites::Alb::02,albumin,albumin,raman,785.0,included_in_X_ref,48b0b00e4948
gobbato_raman_metabolites,gobbato_raman_metabolites::Alb::03,albumin,albumin,raman,785.0,included_in_X_ref,bfd476efaf0b
gobbato_raman_metabolites,gobbato_raman_metabolites::Arg::01,arginine,arginine,raman,785.0,included_in_X_ref,766f5bb9ebd2
gobbato_raman_metabolites,gobbato_raman_metabolites::Arg::02,arginine,arginine,raman,785.0,included_in_X_ref,c5bfd91a39fb
gobbato_raman_metabolites,gobbato_raman_metabolites::Arg::03,arginine,arginine,raman,785.0,included_in_X_ref,1a2776d49fb1
gobbato_raman_metabolites,gobbato_raman_metabolites::Asc::01,ascorbate,ascorbate,raman,785.0,included_in_X_ref,764f1c67eda7
gobbato_raman_metabolites,gobbato_raman_metabolites::Asc::02,ascorbate,ascorbate,raman,785.0,included_in_X_ref,a3c911d06ce9
gobbato_raman_metabolites,gobbato_raman_metabolites::Asc::03,ascorbate,ascorbate,raman,785.0,included_in_X_ref,75ceacd1b37e
gobbato_raman_metabolites,gobbato_raman_metabolites::Chol::01,cholesterol,cholesterol,raman,785.0,included_in_X_ref,bce4b5888dfe
gobbato_raman_metabolites,gobbato_raman_metabolites::Chol::02,cholesterol,cholesterol,raman,785.0,included_in_X_ref,a787ea7b4222
gobbato_raman_metabolites,gobbato_raman_metabolites::Chol::03,cholesterol,cholesterol,raman,785.0,included_in_X_ref,f5425d80063c
gobbato_raman_metabolites,gobbato_raman_metabolites::Citric::01,citrate,citrate,raman,785.0,included_in_X_ref,9e9aca4825fb
gobbato_raman_metabolites,gobbato_raman_metabolites::Citric::02,citrate,citrate,raman,785.0,included_in_X_ref,17bb410124cf
gobbato_raman_metabolites,gobbato_raman_metabolites::Citric::03,citrate,citrate,raman,785.0,included_in_X_ref,3f6a09dbf700
gobbato_raman_metabolites,gobbato_raman_metabolites::CoA::01,coenzyme a,coenzyme a,raman,785.0,included_in_X_ref,d6494a8aa405
gobbato_raman_metabolites,gobbato_raman_metabolites::CoA::02,coenzyme a,coenzyme a,raman,785.0,included_in_X_ref,bf80ff56bc88
gobbato_raman_metabolites,gobbato_raman_metabolites::CoA::03,coenzyme a,coenzyme a,raman,785.0,included_in_X_ref,00886032e2b3
gobbato_raman_metabolites,gobbato_raman_metabolites::Creat::01,creatinine,creatinine,raman,785.0,included_in_X_ref,cb45fad9bafb
gobbato_raman_metabolites,gobbato_raman_metabolites::Creat::02,creatinine,creatinine,raman,785.0,included_in_X_ref,c08ab47ae016
gobbato_raman_metabolites,gobbato_raman_metabolites::Creat::03,creatinine,creatinine,raman,785.0,included_in_X_ref,bd8cce87bbf0
gobbato_raman_metabolites,gobbato_raman_metabolites::Cys::01,cysteine,cysteine,raman,785.0,included_in_X_ref,a9e66829c00b
