cid,arm,si_peak_retention,si_peak_invention,si_peak_width_ratio,si_effective_rank,si_cross_analyte_duplicate_frac,si_negative_lobe_burden,si_edge_artefact_ratio,rejected,reject_reasons
A_arpls5_robust,A_baseline_norm,1.0,0.0,0.8867242675368427,98.46637932513616,0.0,0.0040933011361992,0.8774864094138988,True,sers_replicate_drop
A_arpls5_p95,A_baseline_norm,1.0,0.0,0.8867242675368427,102.4459346721444,0.0,0.0628029376616243,0.6936164308375209,True,sers_replicate_drop
A_arpls5_max,A_baseline_norm,1.0,0.0,0.8867242675368427,99.27391754918293,0.0,0.062802937661623,0.6936164308299371,True,sers_replicate_drop
A_arpls5_snv,A_baseline_norm,1.0,0.0,0.8867242675368427,106.50902447581242,0.0,0.4999999999999988,0.8017292850181222,True,sers_replicate_drop
A_rubberband6_l2,A_baseline_norm,1.0,0.0,0.9178862599571256,82.64715203162879,0.0,0.0,0.3351235315392453,False,
A_rubberband6_area,A_baseline_norm,1.0,0.0,0.9178862599571256,73.03426259337296,0.0,0.0,0.3351235313503193,False,
A_rubberband6_robust,A_baseline_norm,1.0,0.0,0.9178862599571256,86.52701661469384,0.0,0.0032429993785046,0.2079303580204588,False,
A_rubberband6_p95,A_baseline_norm,1.0,0.0,0.9178862599571256,80.16903072659063,0.0,0.0,0.3351235315473094,False,
A_rubberband6_max,A_baseline_norm,1.0,0.0,0.9178862599571256,69.82871154998044,0.0,0.0,0.3351235315471686,False,
A_rubberband6_snv,A_baseline_norm,1.0,0.0,0.9178862599571256,96.079350617492,0.0,0.4999999999999988,1.343310833210675,True,sers_replicate_drop
A_poly37_l2,A_baseline_norm,1.0,0.0,0.8863412696539588,105.14579603619876,0.0,0.5002180837987996,0.8083653418568314,True,sers_replicate_drop
A_poly37_area,A_baseline_norm,1.0,0.0,0.8863412696539579,102.61908991104272,0.0,0.5002180837983361,0.8083653413948596,True,sers_replicate_drop
A_poly37_robust,A_baseline_norm,1.0,0.0,0.8863412696539588,100.38240760222894,0.0,0.0071411586835541,1.1571371051378945,True,sers_replicate_drop
A_poly37_p95,A_baseline_norm,1.0,0.0,0.8863412696539588,100.79096870709309,0.0,0.5002180837988338,0.8083653418847232,True,sers_replicate_drop
A_poly37_max,A_baseline_norm,1.0,0.0,0.8863412696539588,97.98868947795826,0.0,0.5002180837988237,0.8083653418761452,True,sers_replicate_drop
A_poly37_snv,A_baseline_norm,1.0,0.0,0.8863412696539579,105.14559261331684,0.0,0.4999999999999988,0.8093008329027287,True,sers_replicate_drop
A_morph8_l2,A_baseline_norm,1.0,0.0,0.8239540221535296,94.00426916077332,0.0,0.0,0.8601658460958455,False,
A_morph8_area,A_baseline_norm,1.0,0.0,0.8239540221535296,81.19242193983911,0.0,0.0,0.8601658455941747,False,
A_morph8_robust,A_baseline_norm,1.0,0.0,0.8239540221535296,97.44712357250948,0.0,0.0019293660082635,0.8498501198189994,True,sers_replicate_drop
A_morph8_p95,A_baseline_norm,1.0,0.0,0.8239540221535296,90.05798647999632,0.0,0.0,0.8601658461175541,False,
A_morph8_max,A_baseline_norm,1.0,0.0,0.8239540221535296,83.66169460315255,0.0,0.0,0.8601658461169635,False,
A_morph8_snv,A_baseline_norm,1.0,0.0,0.8239540221535296,106.86286988425668,0.0,0.4999999999999988,0.9273654929048728,True,sers_replicate_drop
B_0_none0,B_smoothing,1.0,0.0,0.8863412696539588,105.14579603619876,0.0,0.5002180837987996,0.8083653418568314,True,sers_replicate_drop
B_0_savgol1,B_smoothing,1.0,0.0,0.9446125267709692,101.48502411003862,0.0,0.5000172700993537,0.786554397778672,True,sers_replicate_drop
B_0_savgol2,B_smoothing,1.0,0.0,0.9828323044477998,97.9490195476125,0.0,0.5001025970002879,0.7921323284357037,True,sers_replicate_drop
B_0_savgol3,B_smoothing,1.0,0.0,0.9992669240251136,94.38213992071051,0.0,0.5000999088864593,0.7506623887182424,True,sers_replicate_drop
B_0_savgol4,B_smoothing,1.0,0.0,1.0077823667554844,91.2185501215653,0.0,0.5002045231636025,0.7549438966396428,True,sers_replicate_drop
B_0_savgol5,B_smoothing,0.945906432748538,0.0,1.0611877536290295,85.76832073904878,0.0,0.5001068284392369,0.7389048435183496,True,sers_replicate_drop
B_0_savgol6,B_smoothing,0.888888888888889,0.0,1.2515987754077518,77.92139539673325,0.0,0.5001185593738646,0.7218452716405535,True,sers_replicate_drop|peak_loss|peak_broadening
B_0_gaussian7,B_smoothing,1.0,0.0,0.9982086416037544,96.39843264838927,0.0,0.5001897099008525,0.7596357108492721,True,sers_replicate_drop
B_0_gaussian8,B_smoothing,0.9230769230769232,0.0,1.0662518341483378,85.44753383873514,0.0,0.5003037516910539,0.714769426912335,True,sers_replicate_drop
B_0_gaussian9,B_smoothing,0.8461538461538461,0.0,1.2866181009016335,76.00603092952943,0.0,0.5002957512919541,0.6780192142461194,True,sers_replicate_drop|peak_loss|peak_broadening
B_0_whittaker10,B_smoothing,1.0,0.0,1.0163233019691038,89.03513592450537,0.0,0.5001996400708981,0.7380121240484888,True,sers_replicate_drop
B_0_whittaker11,B_smoothing,0.875,0.0,1.2476534713989156,74.71045079831858,0.0,0.5003511751576909,0.6962283226799695,True,sers_replicate_drop|peak_loss
B_0_wavelet12,B_smoothing,0.9166666666666666,0.0,1.0326713194999808,87.70320300703217,0.0,0.4986850172150186,0.727120304953604,True,sers_replicate_drop
B_1_none0,B_smoothing,1.0,0.0,0.9350565401302868,94.37418673707325,0.0,0.0050012610055456,0.7866965208691923,False,
B_1_savgol1,B_smoothing,1.0,0.0,0.9801762167882212,89.08604879382877,0.0,0.0037827949554565,0.7905060115762447,False,
B_1_savgol2,B_smoothing,1.0,0.0,0.997890973424462,85.06615543372945,0.0,0.0034328555500456,0.789781761723813,False,
B_1_savgol3,B_smoothing,1.0,0.0,1.008352382115728,81.56001707978446,0.0,0.003079612195895,0.7917703799584495,False,
B_1_savgol4,B_smoothing,1.0,0.0,1.023992688602492,78.74655301639756,0.0,0.0031532828146295,0.7865823074935835,False,
B_1_savgol5,B_smoothing,1.0,0.0,1.0959231759773158,74.30197553630582,0.0,0.0030481667176163,0.7840521136644675,False,
B_1_savgol6,B_smoothing,0.888888888888889,0.0,1.397020164848573,68.54852508365143,0.0,0.0047960090706736,0.788568798610996,True,peak_loss|peak_broadening
B_1_gaussian7,B_smoothing,1.0,0.0,1.0115226571754234,83.20954816287019,0.0,0.0029987960061091,0.7864022057947335,False,
B_1_gaussian8,B_smoothing,1.0,0.0,1.1022444963993323,73.62539692689525,0.0,0.0022302621634302,0.7828443611860383,False,
B_1_gaussian9,B_smoothing,0.875,0.0,1.399712742252392,66.70143055769898,0.0,0.0016734934791004,0.7811439116273047,True,peak_loss|peak_broadening
B_1_whittaker10,B_smoothing,1.0,0.0,1.0422420623697128,76.93346288818057,0.0,0.0029659961227275,0.7843927375799347,False,
B_1_whittaker11,B_smoothing,0.888888888888889,0.0,1.3450298202693745,66.51050052829909,0.0,0.0033662063951732,0.7850230731957983,True,peak_loss|peak_broadening
B_1_wavelet12,B_smoothing,0.9198717948717948,0.0,1.058243048418173,75.58710501013432,0.0,0.0021062813787442,0.7797268613050787,False,
C_mean,C_aggregation,1.0,0.0,0.9801762167882212,89.08604879382877,0.0,0.0037827949554565,0.7905060115762447,False,
C_median,C_aggregation,1.0,0.0,0.9794839105018356,91.27602735148596,0.0,0.0037161530267084,0.7832065135162614,False,
C_ivw,C_aggregation,1.0,0.0,0.9852496517521704,89.65385448139523,0.0,0.003894545392827,0.7785592175028866,False,
C_huber,C_aggregation,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
C_consensus,C_aggregation,1.0,0.0,0.9821299803158596,90.1364932998546,0.0,0.0040758568398934,0.7623603548030606,False,
D_none0,D_background,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
D_mean1,D_background,1.0,0.0,0.983134487177221,87.77164726291895,0.0,0.0099569561383082,0.5438433668515285,True,sers_replicate_drop
D_scaled_mean2,D_background,1.0,0.0,0.9819264782629208,98.63665142966174,0.0,0.0099569561383082,0.742284453140227,True,sers_replicate_drop
D_scaled_mean3,D_background,1.0,0.0,0.9819264782629208,98.63665142966174,0.0,0.0099569561383082,0.7422844531402266,True,sers_replicate_drop
D_scaled_mean4,D_background,1.0,0.0,0.982040139740028,98.3986305336595,0.0,0.0099569561383082,0.7330106938987953,True,sers_replicate_drop
D_scaled_mean5,D_background,1.0,0.0,0.9786489661857422,99.17902392217968,0.0,0.0099569561383082,0.8008765127198807,True,sers_replicate_drop
D_lowrank6,D_background,1.0,0.0,0.9822755883028228,97.02432727144746,0.0,0.0099569561383082,0.643516138688826,True,sers_replicate_drop
D_lowrank7,D_background,1.0,0.0,0.980262910964127,99.47283973949932,0.0,0.0099569561383082,0.6895117199532886,True,sers_replicate_drop
D_lowrank8,D_background,1.0,0.0,0.9793258167036958,101.39269027397395,0.0,0.0099569561383082,0.7270110973352555,True,sers_replicate_drop
D_lowrank9,D_background,1.0,0.0,0.9793602201031224,102.50316974231282,0.0,0.0099569561383082,0.7502230877865925,True,sers_replicate_drop
D_robust_lowrank10,D_background,1.0,0.0,0.9786017207913336,102.35948703383724,0.0,0.0099569561383082,0.7645246278503572,True,sers_replicate_drop
E_d0,E_derivative,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
E_d1,E_derivative,0.9523809523809524,0.2153846153846153,0.8340067950192964,117.8340118179827,0.0,0.4997648224676487,1.296329269595788,True,sers_replicate_drop|peak_invention
E_d2,E_derivative,0.9083333333333334,0.5470085470085471,0.6106186825030602,120.04789119347336,0.0,0.513366632861779,1.293550685230196,True,raman_replicate_drop|sers_replicate_drop|peak_invention
E_dconcat,E_derivative,,,,115.37717550294896,,,,True,sers_replicate_drop
F_global,F_modality,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
F_modspec,F_modality,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
F_modspec_norm,F_modality,1.0,0.0,0.980363525103698,63.78294183447987,0.0,0.0037081024891833,0.7811190963392766,False,
F_pk_peak_likelihood,F_modality,1.0,0.2776679841897233,0.3816385053385259,119.83414896452057,0.0,0.0,1.7707635595792823,True,raman_replicate_drop|sers_replicate_drop|peak_invention
F_pk_prominence,F_modality,0.9045454545454544,0.0,0.151594285023464,126.88222281437922,0.0,0.0,1.181587020254506,True,raman_replicate_drop|sers_replicate_drop|sers_chemistry_drop
F_pk_ridge,F_modality,1.0,0.0,0.6320361893529348,108.99613431313703,0.0,0.0,1.5023876871807238,True,sers_replicate_drop
G_combo0,G_combined,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
G_combo1,G_combined,1.0,0.0,0.980363525103698,63.78294183447987,0.0,0.0037081024891833,0.7811190963392766,False,
G_combo2,G_combined,1.0,0.0,0.980363525103698,90.555169912466,0.0,0.0037081024891833,0.7811190965649943,False,
G_combo3,G_combined,1.0,0.0,0.9342745819450056,95.8130681586507,0.0,0.0044412779848135,0.7828283062890887,False,
G_combo4,G_combined,1.0,0.0,0.980262910964127,99.47283973949932,0.0,0.0099569561383082,0.6895117199532886,True,sers_replicate_drop
G_combo5,G_combined,0.989426932390916,0.25,0.7940609641052805,118.30036068196225,0.0,0.4999452754790202,0.9767332842566822,True,sers_replicate_drop|peak_invention
G_combo6,G_combined,1.0,0.0,0.982040139740028,98.3986305336595,0.0,0.0099569561383082,0.7330106938987953,True,sers_replicate_drop
G_combo7,G_combined,1.0,0.0,0.980363525103696,79.33860640026775,0.0,0.0037081024891798,0.7811190961181824,False,
