spectrum_id,group,nearest_references,similarities
covid_serum_raman::COVID::037,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8611, 0.8318, 0.8168, 0.8055, 0.805]"
covid_serum_raman::COVID::038,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8579, 0.8315, 0.8127, 0.8061, 0.8059]"
covid_serum_raman::COVID::039,COVID,"['cholesterol', 'alb', 'albumin', 'arginine', 'isoleucine']","[0.8513, 0.8108, 0.7985, 0.7962, 0.7713]"
covid_serum_raman::COVID::040,COVID,"['cholesterol', 'alb', 'arginine', 'albumin', 'isoleucine']","[0.8521, 0.8103, 0.7978, 0.7917, 0.7771]"
covid_serum_raman::COVID::041,COVID,"['cholesterol', 'arginine', 'alb', 'albumin', 'isoleucine']","[0.857, 0.8018, 0.7946, 0.7874, 0.7782]"
covid_serum_raman::COVID::042,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8562, 0.8381, 0.8206, 0.8057, 0.7966]"
covid_serum_raman::COVID::043,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8604, 0.8341, 0.8162, 0.808, 0.8053]"
covid_serum_raman::COVID::044,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8581, 0.8383, 0.8164, 0.8109, 0.8017]"
covid_serum_raman::COVID::045,COVID,"['alb', 'cholesterol', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8478, 0.8466, 0.8288, 0.7834, 0.778]"
covid_serum_raman::COVID::046,COVID,"['cholesterol', 'alb', 'albumin', 'arginine', 'isoleucine']","[0.8518, 0.8329, 0.8028, 0.7979, 0.7751]"
covid_serum_raman::COVID::047,COVID,"['cholesterol', 'alb', 'albumin', 'arginine', 'cholesteryl stearate']","[0.8539, 0.8347, 0.8195, 0.7896, 0.786]"
covid_serum_raman::COVID::048,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', 'cholesteryl oleate']","[0.8653, 0.8477, 0.8264, 0.819, 0.8152]"
covid_serum_raman::COVID::049,COVID,"['cholesterol', 'cholesteryl stearate', 'albumin', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8668, 0.8242, 0.8199, 0.816, 0.8113]"
covid_serum_raman::COVID::050,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', 'cholesteryl oleate']","[0.8656, 0.848, 0.8281, 0.8225, 0.8183]"
covid_serum_raman::COVID::051,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.863, 0.844, 0.826, 0.8146, 0.8057]"
covid_serum_raman::COVID::052,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8626, 0.8498, 0.8266, 0.8196, 0.8102]"
covid_serum_raman::COVID::053,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8601, 0.8183, 0.8146, 0.8083, 0.8017]"
covid_serum_raman::COVID::054,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8536, 0.8311, 0.8276, 0.803, 0.7945]"
covid_serum_raman::COVID::055,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8526, 0.8501, 0.8465, 0.8007, 0.7904]"
covid_serum_raman::COVID::056,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8509, 0.8314, 0.8306, 0.7921, 0.7818]"
covid_serum_raman::COVID::057,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8623, 0.8582, 0.8325, 0.8276, 0.8238]"
covid_serum_raman::COVID::058,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8597, 0.8562, 0.8298, 0.8246, 0.8222]"
covid_serum_raman::COVID::059,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8631, 0.8526, 0.8308, 0.823, 0.8216]"
covid_serum_raman::COVID::060,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8608, 0.8166, 0.8026, 0.8001, 0.7877]"
covid_serum_raman::COVID::061,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8614, 0.831, 0.8186, 0.8052, 0.7946]"
covid_serum_raman::COVID::062,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8583, 0.8352, 0.8277, 0.8019, 0.7909]"
covid_serum_raman::COVID::063,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', '13-methylmyristicacid']","[0.8699, 0.8451, 0.8398, 0.8299, 0.828]"
covid_serum_raman::COVID::064,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'albumin', 'cholesteryl oleate']","[0.8673, 0.8339, 0.827, 0.8265, 0.8222]"
covid_serum_raman::COVID::065,COVID,"['cholesterol', 'cholesteryl stearate', 'albumin', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8672, 0.8341, 0.8304, 0.8265, 0.8233]"
covid_serum_raman::COVID::066,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8664, 0.8376, 0.8304, 0.8227, 0.8197]"
covid_serum_raman::COVID::067,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8665, 0.8381, 0.8334, 0.8265, 0.8225]"
covid_serum_raman::COVID::068,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8657, 0.8398, 0.8278, 0.8191, 0.8182]"
covid_serum_raman::COVID::069,COVID,"['cholesterol', 'cholesteryl stearate', 'albumin', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8608, 0.8208, 0.8175, 0.8164, 0.8046]"
covid_serum_raman::COVID::070,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8569, 0.8404, 0.8168, 0.8167, 0.8115]"
covid_serum_raman::COVID::071,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8582, 0.8466, 0.8289, 0.818, 0.8104]"
covid_serum_raman::COVID::072,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', '13-methylmyristicacid']","[0.8658, 0.8555, 0.8387, 0.8294, 0.8265]"
covid_serum_raman::COVID::073,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', 'alb']","[0.8687, 0.855, 0.8366, 0.8304, 0.8293]"
covid_serum_raman::COVID::074,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate', 'albumin']","[0.865, 0.8334, 0.8305, 0.8217, 0.8182]"
covid_serum_raman::COVID::075,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8618, 0.8313, 0.8148, 0.8085, 0.7966]"
covid_serum_raman::COVID::076,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.8636, 0.8172, 0.8129, 0.8026, 0.8012]"
covid_serum_raman::COVID::077,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8584, 0.8351, 0.8246, 0.8047, 0.7947]"
covid_serum_raman::COVID::078,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8364, 0.8101, 0.8097, 0.7967, 0.7552]"
covid_serum_raman::COVID::079,COVID,"['cholesterol', 'arginine', 'alb', 'isoleucine', 'albumin']","[0.8383, 0.8098, 0.8049, 0.7879, 0.7593]"
covid_serum_raman::COVID::080,COVID,"['cholesterol', 'arginine', 'alb', 'isoleucine', 'albumin']","[0.8301, 0.8129, 0.8098, 0.7999, 0.7514]"
covid_serum_raman::COVID::081,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8556, 0.8325, 0.8239, 0.821, 0.8082]"
covid_serum_raman::COVID::082,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8635, 0.8567, 0.8364, 0.8224, 0.8131]"
covid_serum_raman::COVID::083,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8566, 0.8511, 0.8294, 0.8244, 0.8152]"
covid_serum_raman::COVID::084,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate', 'albumin']","[0.8577, 0.8139, 0.8114, 0.7978, 0.7971]"
covid_serum_raman::COVID::085,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8556, 0.8393, 0.836, 0.8067, 0.7964]"
covid_serum_raman::COVID::086,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8577, 0.839, 0.8288, 0.8095, 0.7992]"
covid_serum_raman::COVID::087,COVID,"['alb', 'cholesterol', 'albumin', 'arginine', 'ferritin']","[0.8459, 0.8298, 0.8231, 0.7745, 0.767]"
covid_serum_raman::COVID::088,COVID,"['alb', 'cholesterol', 'albumin', 'arginine', 'isoleucine']","[0.8465, 0.8235, 0.8106, 0.7801, 0.7712]"
covid_serum_raman::COVID::089,COVID,"['alb', 'cholesterol', 'albumin', 'arginine', 'ferritin']","[0.8502, 0.8268, 0.8203, 0.7748, 0.7641]"
covid_serum_raman::COVID::090,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8749, 0.8243, 0.8147, 0.8014, 0.7935]"
covid_serum_raman::COVID::091,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'ferritin']","[0.8665, 0.8274, 0.816, 0.7794, 0.7731]"
covid_serum_raman::COVID::092,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8657, 0.8352, 0.831, 0.7881, 0.7827]"
covid_serum_raman::COVID::093,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.863, 0.8318, 0.8262, 0.82, 0.8127]"
covid_serum_raman::COVID::094,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.8596, 0.8331, 0.8193, 0.8124, 0.8068]"
covid_serum_raman::COVID::095,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8594, 0.8482, 0.8243, 0.8188, 0.81]"
covid_serum_raman::COVID::096,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8637, 0.8499, 0.8278, 0.8206, 0.8176]"
covid_serum_raman::COVID::097,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8656, 0.843, 0.8268, 0.8177, 0.8171]"
covid_serum_raman::COVID::098,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8643, 0.847, 0.8343, 0.8272, 0.8233]"
covid_serum_raman::COVID::099,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8619, 0.8319, 0.8136, 0.813, 0.8038]"
covid_serum_raman::COVID::100,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8612, 0.84, 0.8281, 0.7891, 0.7824]"
covid_serum_raman::COVID::101,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8633, 0.8345, 0.8253, 0.8077, 0.7982]"
covid_serum_raman::COVID::102,COVID,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8627, 0.8534, 0.8514, 0.8151, 0.8058]"
covid_serum_raman::COVID::103,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8619, 0.8543, 0.8435, 0.8237, 0.8158]"
covid_serum_raman::COVID::104,COVID,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8689, 0.8584, 0.8528, 0.82, 0.8102]"
covid_serum_raman::COVID::105,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8605, 0.8496, 0.844, 0.8125, 0.8059]"
covid_serum_raman::COVID::106,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8585, 0.845, 0.8391, 0.8155, 0.8062]"
covid_serum_raman::COVID::107,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8622, 0.8453, 0.8378, 0.8169, 0.8093]"
covid_serum_raman::COVID::108,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.8824, 0.7824, 0.7768, 0.7727, 0.7703]"
covid_serum_raman::COVID::109,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl palmitate', 'cholesteryl oleate']","[0.8781, 0.7687, 0.7668, 0.7625, 0.7616]"
covid_serum_raman::COVID::110,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.8832, 0.7859, 0.7807, 0.7762, 0.7746]"
covid_serum_raman::COVID::111,COVID,"['alb', 'cholesterol', 'albumin', 'cholesteryl stearate', 'ferritin']","[0.8546, 0.8521, 0.8478, 0.7937, 0.7845]"
covid_serum_raman::COVID::112,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8582, 0.8451, 0.8356, 0.8078, 0.7976]"
covid_serum_raman::COVID::113,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8607, 0.8425, 0.8354, 0.8062, 0.7973]"
covid_serum_raman::COVID::114,COVID,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8424, 0.8282, 0.8206, 0.7765, 0.7723]"
covid_serum_raman::COVID::115,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'albumin', 'cholesteryl palmitate']","[0.8474, 0.801, 0.8007, 0.7904, 0.7833]"
covid_serum_raman::COVID::116,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8495, 0.8343, 0.8278, 0.7979, 0.7882]"
covid_serum_raman::COVID::117,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8624, 0.8319, 0.8219, 0.8142, 0.8094]"
covid_serum_raman::COVID::118,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8577, 0.8438, 0.8261, 0.8165, 0.808]"
covid_serum_raman::COVID::119,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8554, 0.8432, 0.8293, 0.8089, 0.7998]"
covid_serum_raman::COVID::120,COVID,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8403, 0.8401, 0.8385, 0.7916, 0.7853]"
covid_serum_raman::COVID::121,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8435, 0.8324, 0.8275, 0.7928, 0.7854]"
covid_serum_raman::COVID::122,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.844, 0.8383, 0.8331, 0.7977, 0.7902]"
covid_serum_raman::COVID::123,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'alb']","[0.844, 0.8265, 0.8032, 0.8009, 0.7997]"
covid_serum_raman::COVID::124,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8414, 0.832, 0.8188, 0.7959, 0.7913]"
covid_serum_raman::COVID::125,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8503, 0.8461, 0.8385, 0.8063, 0.7997]"
covid_serum_raman::COVID::126,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8495, 0.8353, 0.8256, 0.8005, 0.7921]"
covid_serum_raman::COVID::127,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8518, 0.8248, 0.8157, 0.7985, 0.7896]"
covid_serum_raman::COVID::128,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8523, 0.8327, 0.8242, 0.801, 0.7918]"
covid_serum_raman::COVID::129,COVID,"['albumin', 'alb', 'cholesterol', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8504, 0.8491, 0.8475, 0.7999, 0.7903]"
covid_serum_raman::COVID::130,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8462, 0.8439, 0.8402, 0.8008, 0.7952]"
covid_serum_raman::COVID::131,COVID,"['cholesterol', 'alb', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8452, 0.8438, 0.8413, 0.7921, 0.7837]"
covid_serum_raman::COVID::132,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8457, 0.8346, 0.8107, 0.803, 0.7972]"
covid_serum_raman::COVID::133,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8421, 0.8414, 0.8183, 0.8022, 0.7975]"
covid_serum_raman::COVID::134,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8451, 0.8401, 0.8262, 0.8017, 0.7977]"
covid_serum_raman::COVID::135,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8573, 0.809, 0.7937, 0.7867, 0.7818]"
covid_serum_raman::COVID::136,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.858, 0.826, 0.8227, 0.7902, 0.7806]"
covid_serum_raman::COVID::137,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8588, 0.8199, 0.817, 0.7865, 0.7758]"
covid_serum_raman::COVID::138,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8443, 0.8342, 0.8237, 0.7986, 0.7912]"
covid_serum_raman::COVID::139,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8535, 0.8435, 0.8365, 0.8077, 0.802]"
covid_serum_raman::COVID::140,COVID,"['albumin', 'cholesterol', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8518, 0.8436, 0.8393, 0.8036, 0.7976]"
covid_serum_raman::COVID::141,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8493, 0.8176, 0.7937, 0.7928, 0.7842]"
covid_serum_raman::COVID::142,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8456, 0.8178, 0.7938, 0.7927, 0.788]"
covid_serum_raman::COVID::143,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8482, 0.8236, 0.8043, 0.7958, 0.787]"
covid_serum_raman::COVID::144,COVID,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8392, 0.8271, 0.8254, 0.7778, 0.7756]"
covid_serum_raman::COVID::145,COVID,"['cholesterol', 'alb', 'albumin', 'arginine', 'ferritin']","[0.8383, 0.8262, 0.8171, 0.7771, 0.7679]"
covid_serum_raman::COVID::146,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8439, 0.8223, 0.8207, 0.785, 0.7742]"
