analyte,serum_spike_displacement,serum_replicate_direction_cos,serum_vs_pureSERS_cos,serum_vs_pureRaman_cos,serum_recovery_tier,serum_tested,family,component_cosine,theme_cosine_distinct,mss_cosine,quadrant
fructose-6-phosphate,0.0162,0.6543,-0.2729,0.0856,weak,True,saccharide,0.3473,-0.7297,0.6931,Q4 poor transfer (both)
hydroxyproline,0.0531,0.9517,-0.1484,-0.0156,strong,True,amino_acid,0.241,-0.5354,0.6319,Q4 poor transfer (both)
arginine,0.0432,0.9078,-0.1194,0.0439,moderate,True,amino_acid,0.4943,-0.9317,0.7433,Q4 poor transfer (both)
glycine,0.0154,0.8538,-0.0333,-0.312,weak,True,amino_acid,0.2465,-0.2531,0.8973,Q4 poor transfer (both)
glycerol,0.0206,0.7878,0.2557,0.0552,moderate,True,polyol,0.47,-0.7601,0.5963,Q4 poor transfer (both)
lactate,0.0316,0.9302,-0.3065,0.1334,moderate,True,organic_acid,0.402,-0.6338,0.5653,Q4 poor transfer (both)
fructose,0.0278,0.9066,0.1197,0.44,moderate,True,saccharide,0.3411,-0.6003,0.5823,Q4 poor transfer (both)
thymine,0.0178,0.8181,-0.0686,-0.0216,weak,True,pyrimidine,0.2704,0.5558,0.5425,"Q2 latent redistribution, theme survives"
stearate,0.0423,0.9088,0.1114,0.1657,moderate,True,lipid,0.3209,0.0776,0.3722,Q4 poor transfer (both)
triolein,0.0154,0.7683,0.1027,-0.0623,weak,True,lipid,0.3138,-0.3572,0.3694,Q4 poor transfer (both)
oleate,0.1075,0.8987,-0.1239,-0.0398,strong,True,lipid,0.264,-0.4675,0.3648,Q4 poor transfer (both)
uracil,0.0353,0.9371,0.118,-0.0129,moderate,True,pyrimidine,0.0562,0.1591,0.4858,Q4 poor transfer (both)
