canonical_analyte_name,chemical_class,biochemical_family,reference_dataset,reference_modality,substrate,excitation_nm,number_of_measured_spectra,is_pure_analyte,is_literature_only,is_digitized_spectrum,dominant_legacy_axis,mapped_gaira_axes,mapping_confidence,evidence_tier,source_path,notes
ascorbic acid,Vitamins,Vitamins,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cellulose,Saccharides/Polysaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
chitin,Saccharides/Polysaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
citric acid,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
coenzyme a,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cytosine,NucleicAcids,NucleicAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-dextrose,Saccharides/Monosaccharides/Glucose,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-fucose,Saccharides/Monosaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-galactosamine,Saccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,redox_metabolite,G10_sulfur_thiol_redox;G11_metabolic_small_molecule,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-mannose,Saccharides/Monosaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-trehalose,Saccharides/Disaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(+)-xylose,Saccharides/Monosaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(-)-arabinose,Saccharides/Monosaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-(-)-fructose,Saccharides/Monosaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
d-fructose-6-phosphate,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
fumarate,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
glutathione,Peptides,Other,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
glycerol,Lipids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
glycine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,redox_metabolite,G10_sulfur_thiol_redox;G11_metabolic_small_molecule,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
guanine,NucleicAcids,NucleicAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-alanine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-arginine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-glutamate,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-histidine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-phenylalanine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-proline,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-serine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-tryptophan,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-tyrosine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,aromatic_amino_acid,G07_aromatic_residue,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
l-valine,AminoAcids,AminoAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lactose,Saccharides/Disaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
lauric acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
malic acid,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
myristic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
n-acetyl- d-glucosamine,Saccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
oleic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
palmitic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
phosphoenolpyruvate,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
pyruvate,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
riboﬂavin,Vitamins,Vitamins,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
stearic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
succinic acid,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
thymine,NucleicAcids,NucleicAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trilinolein,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
trilinolenin,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
triolein,Lipids/Triglycerides,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
uracil,NucleicAcids,NucleicAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,pyrimidine_nucleotide,G03_pyrimidine_nucleotide,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
vaccenic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
β-carotene,Pigments,Pigments,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
β-d-glucose,Saccharides/Monosaccharides/Glucose,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
arachidonic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
α-linolenic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
arachidic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cholesterol,Lipids/Sterols,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cholesteryl linoleate,Lipids/Sterols,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
cholesteryl oleate,Lipids/Sterols,Lipids,RamanBioLib(grounding_molecule_bsv),Raman, CaF2 slide,532.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
