idx,analyte_name,col_index,n_data_points,substrate,excitation_nm,n_spectra_note
19,CYTOCHROME C,21,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
20,RIBOFLAVIN,22,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
21,GLUTATHIONE,23,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
22,N-ACETYL-L-CYSTEINE,24,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
23,4-IMIDAZOLEACETIC ACID,25,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
24,"3',5'-CYCLIC AMP",26,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
25,L-METHIONINE SULFOXIMINE,27,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
26,L-HISTIDINE,28,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
27,SPERMIDINE,29,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
28,BILIVERDIN,30,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
29,CYSTEAMINE,31,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
30,VITAMIN B12,32,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
31,TYRAMINE,33,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
32,TRYPTAMINE,34,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
33,LUMICHROME,35,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
34,N-METHYLTRYPTAMINE,36,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
35,LIPOAMIDE,37,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
36,3-METHOXYTYRAMINE,38,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
37,2-QUINOLINECARBOXYLIC ACID,39,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
38,PTERIN,40,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
39,INDOLE-3-ACETIC ACID,41,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
40,L-ASPARAGINE,43,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
41,N-ACETYL-D-TRYPTOPHAN,44,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
42,LEUCINE,45,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
43,SELENOMETHIONINE,46,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
44,METHYLGUANIDINE,47,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
45,DOPAMINE,48,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
46,L-CYSTATHIONINE,49,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
47,THYROTROPIN RELEASING HORMONE,50,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
48,N-METHYL-D-ASPARTIC ACID,51,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
49,CARBAMOYL PHOSPHATE,52,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
50,AGMATINE SULFATE,53,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
51,L-CYSTEIC ACID,54,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
52,1-METHYLNICOTINAMIDE,56,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
53,N-ACETYL-DL-GLUTAMIC ACID,58,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
54,MANDELIC ACID,59,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
55,L-TRYPTOPHANAMIDE,60,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
56,DETHIOBIOTIN,62,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
57,PHENETHYLAMINE,63,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
58,METHYL INDOLE-3-ACETATE,64,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
59,"N,N-DIMETHYL-1,4-PHENYLENEDIAMINE",65,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
60,1-NAPHTHYLAMINE,66,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
61,PIPECOLATE,68,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
62,5-OXO-L-PROLINE,69,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
63,3-METHYLADENINE,70,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
