analyte,source,modality,substrate,excitation,evidence_type,pure_or_matrix
THIAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
OCTOPAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
SELENOCYSTAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
HISTAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
CYTOCHROME C,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
RIBOFLAVIN,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
GLUTATHIONE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
N-ACETYL-L-CYSTEINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
4-IMIDAZOLEACETIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
"3',5'-CYCLIC AMP",sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-METHIONINE SULFOXIMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-HISTIDINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
SPERMIDINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
BILIVERDIN,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
CYSTEAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
VITAMIN B12,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
TYRAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
TRYPTAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
LUMICHROME,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
N-METHYLTRYPTAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
LIPOAMIDE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
3-METHOXYTYRAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
2-QUINOLINECARBOXYLIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
PTERIN,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
INDOLE-3-ACETIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-ASPARAGINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
N-ACETYL-D-TRYPTOPHAN,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
LEUCINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
SELENOMETHIONINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
METHYLGUANIDINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
DOPAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-CYSTATHIONINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
THYROTROPIN RELEASING HORMONE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
N-METHYL-D-ASPARTIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
CARBAMOYL PHOSPHATE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
AGMATINE SULFATE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-CYSTEIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
1-METHYLNICOTINAMIDE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
N-ACETYL-DL-GLUTAMIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
MANDELIC ACID,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-TRYPTOPHANAMIDE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
DETHIOBIOTIN,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
PHENETHYLAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
METHYL INDOLE-3-ACETATE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
"N,N-DIMETHYL-1,4-PHENYLENEDIAMINE",sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
1-NAPHTHYLAMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
PIPECOLATE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
5-OXO-L-PROLINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
3-METHYLADENINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
PC(12:0/12:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
PC(18:1(9Z)/18:1(9Z)),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
PC(O-16:0/0:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
PC(18:0/18:1(9Z)),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
"PC(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
LPC(16:0/0:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
LPC(0:0/14:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
LPC(17:0/0:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
LPC(O-18:0/0:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
LPC(20:0/0:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Sphinganine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
SM(d18:1/16:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
SM(d18:1/18:0),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
SM(d18:1/24:1(15Z)),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Cer(d18:1/24:1(15Z)),ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
2-(Methylamino)isobutyric acid,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
L-Aspartyl-L-phenylalanine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Phenylacetylglutamine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Gamma-Glu-leu,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Leu-Leu,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
L-leucyl-L-isoleucine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
1-Hydroxy-2-naphthoic acid,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Taurine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
Hypaphorine,ag_flakes_metabolites_24,ORC-Ag-SERS,ORC-roughened Ag,not in SI,peak_table,pure
