motif_id,chemical_class,lsm_type,n_analytes,stability,activation_sparsity,top_bands_cm,assignments,n_class_specific,representative_molecules,interpretation_class
free_amino_acid.m00,free_amino_acid,subfamily,9,1.0,0.5,542;756;946;1122;1338;1424,542: skeletal deformation; S–S stretch (generic) | 756: C–S stretch; ring breathing (generic) | 946: C–C stretch; skeletal (generic) | 1122: C–O–C / C–N stretch (generic) | 1338: COO− symmetric stretch (zwitterion) | 1424: COO− symmetric stretch (generic),1,alanine;asparagine;aspartate;glutamate,subfamily chemistry
free_amino_acid.m01,free_amino_acid,subfamily,10,1.0,0.4444,532;852;920;1018;1358;1462,532: skeletal deformation; S–S stretch (generic) | 852: tyrosine Fermi doublet | 920: C–C stretch; skeletal (generic) | 1018: C–O / C–C stretch (generic) | 1358: COO− symmetric stretch (zwitterion) | 1462: CH2 / CH3 deformation (generic),2,alanine;glutamate;histidine;hydroxyproline,subfamily chemistry
free_amino_acid.m02,free_amino_acid,molecule_discriminating,3,0.9167,0.8333,538;640;692;772;1346;1426,538: skeletal deformation; S–S stretch (generic) | 640: C–S stretch; ring deformation (generic) | 692: C–S stretch; ring breathing (generic) | 772: ring breathing; O–P–O symmetric (generic) | 1346: COO− symmetric stretch (zwitterion) | 1426: CH2 / CH3 deformation (generic),1,cysteine;glutamate;methionine,molecule-discriminating
free_amino_acid.m03,free_amino_acid,subfamily,9,1.0,0.5,504;896;1034;1326;1410;1444,504: skeletal deformation; S–S stretch (generic) | 896: C–C skeletal stretch (generic) | 1034: C–O / C–C stretch (generic) | 1326: COO− symmetric stretch (zwitterion) | 1410: COO− symmetric stretch (zwitterion) | 1444: CH2 / CH3 deformation (generic),2,aspartate;glutamate;glycine;isoleucine,subfamily chemistry
free_amino_acid.m04,free_amino_acid,molecule_discriminating,4,0.8333,0.7778,622;752;818;1004;1034;1212,622: C–S stretch; ring deformation (generic) | 752: C–S stretch; ring breathing (generic) | 818: ring breathing; O–P–O symmetric (generic) | 1004: phenylalanine ring breathing | 1034: C–O / C–C stretch (generic) | 1212: amide III region; CH2 twist (generic),1,isoleucine;phenylalanine;serine;tryptophan,molecule-discriminating
free_amino_acid.m05,free_amino_acid,subfamily,7,0.75,0.6111,642;828;986;1178;1328;1614,642: C–S stretch; ring deformation (generic) | 828: tyrosine Fermi doublet | 986: symmetric stretch (PO4 / ring breathing) (generic) | 1178: C–C stretch; in-plane bending (generic) | 1328: COO− symmetric stretch (zwitterion) | 1614: NH3+ deformation; COO− antisymmetric,3,aspartate;isoleucine;leucine;phenylalanine,subfamily chemistry
free_amino_acid.m06,free_amino_acid,subfamily,8,0.75,0.5556,552;924;982;1066;1318;1440,552: skeletal deformation; S–S stretch (generic) | 924: C–C stretch; skeletal (generic) | 982: symmetric stretch (PO4 / ring breathing) (generic) | 1066: C–C / C–N stretch; PO2− symmetric (generic) | 1318: CH2 deformation / wag (generic) | 1440: CH2 / CH3 deformation (generic),0,arginine;aspartate;glutamate;histidine,subfamily chemistry
mono_oligosaccharide.m00,mono_oligosaccharide,subfamily,7,1.0,0.65,530;874;1062;1156;1270;1452,530: skeletal deformation; S–S stretch (generic) | 874: C–C skeletal stretch (generic) | 1062: C–O / C–C ring stretch (pyranose) | 1156: C–O–C / C–N stretch (generic) | 1270: C–H / O–H deformation | 1452: CH2 deformation,3,(+)-fucose;(+)-galactosamine;(+)-galactose;(+)-mannose,subfamily chemistry
mono_oligosaccharide.m01,mono_oligosaccharide,subfamily,11,1.0,0.45,698;842;992;1052;1258;1474,698: C–S stretch; ring breathing (generic) | 842: α-anomeric C–H deformation | 992: symmetric stretch (PO4 / ring breathing) (generic) | 1052: C–O / C–C ring stretch (pyranose) | 1258: C–H / O–H deformation | 1474: CH2 / CH3 deformation (generic),3,(+)-arabinose;(+)-galactose;(+)-glucose;(+)-lactose,subfamily chemistry
mono_oligosaccharide.m02,mono_oligosaccharide,class_shared,12,1.0,0.4,542;840;914;1074;1120;1460,542: skeletal deformation; S–S stretch (generic) | 840: α-anomeric C–H deformation | 914: C–C stretch; skeletal (generic) | 1074: C–O / C–C ring stretch (pyranose) | 1120: C–O / C–C ring stretch (pyranose) | 1460: CH2 deformation,4,(+)-fucose;(+)-glucose;(+)-lactose;(+)-maltose,shared chemistry
mono_oligosaccharide.m03,mono_oligosaccharide,subfamily,11,1.0,0.45,524;576;852;1038;1132;1380,524: skeletal deformation; S–S stretch (generic) | 576: C–S stretch; ring deformation (generic) | 852: α-anomeric C–H deformation | 1038: C–O / C–C stretch (generic) | 1132: C–O / C–C ring stretch (pyranose) | 1380: COO− symmetric stretch (generic),2,(+)-arabinose;(+)-galactose;(+)-glucose;(+)-lactose,subfamily chemistry
mono_oligosaccharide.m04,mono_oligosaccharide,class_shared,12,1.0,0.4,626;812;876;1046;1084;1470,626: C–S stretch; ring deformation (generic) | 812: ring breathing; O–P–O symmetric (generic) | 876: C–C skeletal stretch (generic) | 1046: C–O / C–C stretch (generic) | 1084: C–O / C–C ring stretch (pyranose) | 1470: CH2 / CH3 deformation (generic),1,(+)-fucose;(+)-galactose;(+)-lactose;(+)-mannose,shared chemistry
mono_oligosaccharide.m05,mono_oligosaccharide,subfamily,7,0.75,0.65,524;832;904;1084;1116;1148,524: skeletal deformation; S–S stretch (generic) | 832: C–C skeletal stretch (generic) | 904: β-anomeric C–H deformation | 1084: C–O / C–C ring stretch (pyranose) | 1116: C–O / C–C ring stretch (pyranose) | 1148: C–O / C–C ring stretch (pyranose),4,(+)-galactose;(+)-lactose;(+)-maltose;(+)-mannose,subfamily chemistry
nucleic_acid_polymer.m00,nucleic_acid_polymer,class_shared,3,1.0,0.0,784;1096;1252;1374;1486;1574,784: pyrimidine ring breathing; O–P–O backbone | 1096: PO2− symmetric stretch (phosphodiester backbone) | 1252: base ring / backbone | 1374: CH2 deformation / wag (generic) | 1486: CH2 / CH3 deformation (generic) | 1574: conjugated C=C; ring stretch (generic),3,a-dna;b-dna;t-rna,shared chemistry
peptide_protein.m00,peptide_protein,class_shared,18,1.0,0.4,520;856;1102;1246;1452;1676,520: S–S disulfide stretch | 856: tyrosine Fermi doublet (830/850) | 1102: C–C / C–N stretch; PO2− symmetric (generic) | 1246: amide III (β-sheet 1230 / α-helix 1265) | 1452: CH2/CH3 deformation | 1676: amide I (α-helix 1655 / β-sheet 1670),5,collagen;elastase;elastin;ferritin,shared chemistry
peptide_protein.m01,peptide_protein,molecule_discriminating,4,0.9167,0.8667,686;750;1130;1312;1362;1588,686: C–S stretch; ring breathing (generic) | 750: C–S stretch; ring breathing (generic) | 1130: C–O–C / C–N stretch (generic) | 1312: CH2 deformation / wag (generic) | 1362: CH2 deformation / wag (generic) | 1588: conjugated C=C; ring stretch (generic),0,cytochrome c;hemoglobin;myoglobin;α-chymotrypsinogen a (type ii),molecule-discriminating
peptide_protein.m02,peptide_protein,subfamily,9,0.8333,0.7,542;676;712;832;1038;1458,542: S–S disulfide stretch | 676: C–S stretch; ring breathing (generic) | 712: C–S stretch (methionine) | 832: tyrosine Fermi doublet (830/850) | 1038: C–O / C–C stretch (generic) | 1458: CH2/CH3 deformation,4,albumin;collagen;elastase;elastin,subfamily chemistry
peptide_protein.m03,peptide_protein,subfamily,10,0.8333,0.6667,482;864;942;1130;1336;1464,482: skeletal deformation; S–S stretch (generic) | 864: C–C skeletal stretch (generic) | 942: C–C stretch; skeletal (generic) | 1130: C–O–C / C–N stretch (generic) | 1336: CH2 deformation / wag (generic) | 1464: CH2/CH3 deformation,1,albumin;collagen;ferritin;glutathione transferase,subfamily chemistry
peptide_protein.m04,peptide_protein,subfamily,11,0.9167,0.6333,848;1140;1234;1280;1476;1672,848: tyrosine Fermi doublet (830/850) | 1140: C–O–C / C–N stretch (generic) | 1234: amide III (β-sheet 1230 / α-helix 1265) | 1280: amide III (β-sheet 1230 / α-helix 1265) | 1476: CH2 / CH3 deformation (generic) | 1672: amide I (α-helix 1655 / β-sheet 1670),4,collagen;elastase;elastin;glucose oxidase,subfamily chemistry
peptide_protein.m05,peptide_protein,subfamily,16,1.0,0.4667,528;958;1002;1320;1452;1662,528: S–S disulfide stretch | 958: C–C stretch; skeletal (generic) | 1002: phenylalanine ring breathing (1003) | 1320: CH2 deformation / wag (generic) | 1452: CH2/CH3 deformation | 1662: amide I (α-helix 1655 / β-sheet 1670),4,albumin;carbonic anhydrase;elastin;ferritin,subfamily chemistry
peptide_protein.m06,peptide_protein,subfamily,14,1.0,0.5333,834;1006;1238;1452;1606;1674,834: tyrosine Fermi doublet (830/850) | 1006: phenylalanine ring breathing (1003) | 1238: amide III (β-sheet 1230 / α-helix 1265) | 1452: CH2/CH3 deformation | 1606: conjugated C=C; ring stretch (generic) | 1674: amide I (α-helix 1655 / β-sheet 1670),5,carbonic anhydrase;elastase;insulin;lactalbumin,subfamily chemistry
peptide_protein.m07,peptide_protein,subfamily,14,1.0,0.5333,856;1010;1210;1448;1618;1664,856: tyrosine Fermi doublet (830/850) | 1010: C–O / C–C stretch (generic) | 1210: amide III (β-sheet 1230 / α-helix 1265) | 1448: CH2/CH3 deformation | 1618: conjugated C=C; ring stretch (generic) | 1664: amide I (α-helix 1655 / β-sheet 1670),4,albumin;elastase;ferritin;glutathione transferase,subfamily chemistry
peptide_protein.m08,peptide_protein,subfamily,17,1.0,0.4333,762;880;1340;1446;1554;1666,762: ring breathing; O–P–O symmetric (generic) | 880: C–C skeletal stretch (generic) | 1340: CH2 deformation / wag (generic) | 1446: CH2/CH3 deformation | 1554: tryptophan | 1666: amide I (α-helix 1655 / β-sheet 1670),3,carbonic anhydrase;elastase;ferritin;glutathione transferase,subfamily chemistry
peptide_protein.m09,peptide_protein,subfamily,10,1.0,0.6667,1006;1134;1226;1304;1372;1580,1006: phenylalanine ring breathing (1003) | 1134: C–O–C / C–N stretch (generic) | 1226: amide III (β-sheet 1230 / α-helix 1265) | 1304: CH2 deformation / wag (generic) | 1372: CH2 deformation / wag (generic) | 1580: conjugated C=C; ring stretch (generic),2,albumin;carbonic anhydrase;elastase;ferritin,subfamily chemistry
phosphate_metabolite.m00,phosphate_metabolite,class_shared,3,1.0,0.0,558;784;972;1066;1378;1702,558: skeletal deformation; S–S stretch (generic) | 784: ring breathing; O–P–O symmetric (generic) | 972: symmetric stretch (PO4 / ring breathing) (generic) | 1066: PO2− symmetric stretch | 1378: CH2 deformation / wag (generic) | 1702: C=O stretch (ester / carboxylic acid) (generic),1,fructose-6-phosphate;phosphate;phosphoenolpyruvate,shared chemistry
phospholipid_sphingolipid.m00,phospholipid_sphingolipid,class_shared,4,1.0,0.2,720;880;1062;1296;1438;1658,720: choline N+(CH3)3 symmetric stretch | 880: C–C skeletal stretch (generic) | 1062: C–C skeletal acyl chain | 1296: amide III region; CH2 twist (generic) | 1438: CH2 scissoring | 1658: amide I; C=C stretch (generic),3,ceramide;sphingomyelin;α-phosphatidylcholine;α-phosphatidylethanolamine,shared chemistry
phospholipid_sphingolipid.m01,phospholipid_sphingolipid,class_shared,3,0.9167,0.4,470;530;650;862;1090;1320,470: outside the assigned range | 530: skeletal deformation; S–S stretch (generic) | 650: C–S stretch; ring deformation (generic) | 862: C–C skeletal stretch (generic) | 1090: C–C skeletal acyl chain | 1320: CH2 deformation / wag (generic),2,phosphatidylinositol;α-phosphatidylcholine;α-phosphatidylethanolamine,shared chemistry
polysaccharide.m00,polysaccharide,class_shared,4,1.0,0.2,480;862;940;1130;1338;1462,480: skeletal deformation; S–S stretch (generic) | 862: C–C skeletal stretch (generic) | 940: α-glycosidic linkage | 1130: C–O–C / C–N stretch (generic) | 1338: C–H / O–H deformation | 1462: CH2 / CH3 deformation (generic),2,amylopectin;amylose;chitin;glycogen,shared chemistry
polysaccharide.m01,polysaccharide,class_shared,4,1.0,0.2,498;896;954;1098;1330;1378,498: skeletal deformation; S–S stretch (generic) | 896: β-glycosidic linkage | 954: C–C stretch; skeletal (generic) | 1098: C–O–C glycosidic bridge | 1330: C–H / O–H deformation | 1378: C–H / O–H deformation,4,amylose;cellulose;chitin;glycogen,shared chemistry
purine.m00,purine,class_shared,4,1.0,0.2,534;624;722;1038;1334;1488,"534: skeletal deformation; S–S stretch (generic) | 624: C–S stretch; ring deformation (generic) | 722: purine ring breathing (adenine 723, guanine 730) | 1038: C–O / C–C stretch (generic) | 1334: purine ring stretch | 1488: imidazole ring stretch",3,adenine;hypoxanthine;urate;xanthine,shared chemistry
purine.m01,purine,class_shared,4,0.9167,0.2,650;938;1230;1264;1330;1552,650: C–S stretch; ring deformation (generic) | 938: C–C stretch; skeletal (generic) | 1230: amide III region; CH2 twist (generic) | 1264: amide III region; CH2 twist (generic) | 1330: purine ring stretch | 1552: ring stretch; amide II (generic),1,adenine;guanine;hypoxanthine;xanthine,shared chemistry
pyrimidine.m00,pyrimidine,class_shared,3,1.0,0.0,552;792;1236;1276;1368;1672,"552: skeletal deformation; S–S stretch (generic) | 792: pyrimidine ring breathing (cytosine 785, uracil 790) | 1236: ring stretch; C–N | 1276: amide III region; CH2 twist (generic) | 1368: CH2 deformation / wag (generic) | 1672: C=O stretch (uracil/thymine carbonyl)",3,cytosine;thymine;uracil,shared chemistry
small_nitrogenous.m00,small_nitrogenous,class_shared,2,1.0,0.0,606;674;838;904;1010;1658,606: C–S stretch; ring deformation (generic) | 674: C–S stretch; ring breathing (generic) | 838: C–C skeletal stretch (generic) | 904: C–C stretch; skeletal (generic) | 1010: C–N symmetric stretch (urea 1010) | 1658: C=O stretch (urea 1650); guanidino (creatinine),2,creatinine;urea,shared chemistry
sterol_steroid.m00,sterol_steroid,class_shared,6,1.0,0.4,702;882;1134;1304;1442;1672,702: sterol ring skeletal mode (cholesterol 702) | 882: C–C skeletal stretch (generic) | 1134: C–O–C / C–N stretch (generic) | 1304: CH2 deformation / wag (generic) | 1442: CH2 scissoring | 1672: C=C stretch (Δ5 unsaturation),3,cholesterol;cholesteryl linoleate;cholesteryl oleate;cholesteryl palmitate,shared chemistry
sterol_steroid.m01,sterol_steroid,subfamily,5,1.0,0.5,816;1008;1114;1260;1608;1634,816: ring breathing; O–P–O symmetric (generic) | 1008: symmetric stretch (PO4 / ring breathing) (generic) | 1114: C–O–C / C–N stretch (generic) | 1260: amide III region; CH2 twist (generic) | 1608: conjugated C=C; ring stretch (generic) | 1634: amide I; C=C stretch (generic),0,cholesterol;cholesteryl oleate;diethylstilbestrol;estradiol,subfamily chemistry
sterol_steroid.m02,sterol_steroid,subfamily,5,1.0,0.5,500;594;730;1008;1258;1436,500: skeletal deformation; S–S stretch (generic) | 594: C–S stretch; ring deformation (generic) | 730: C–S stretch; ring breathing (generic) | 1008: symmetric stretch (PO4 / ring breathing) (generic) | 1258: amide III region; CH2 twist (generic) | 1436: CH2 scissoring,1,cholesterol;estradiol;estriol;estrone,subfamily chemistry
sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor,class_shared,3,1.0,0.25,526;724;806;886;1036;1334,526: S–S stretch | 724: C–S stretch; ring breathing (generic) | 806: ring breathing; O–P–O symmetric (generic) | 886: C–C skeletal stretch (generic) | 1036: C–O / C–C stretch (generic) | 1334: CH2 deformation / wag (generic),1,acetyl-coa;coenzyme a;glutathione,shared chemistry
sulfur_thiol_cofactor.m01,sulfur_thiol_cofactor,class_shared,3,1.0,0.25,506;716;962;1206;1496;1638,506: S–S stretch | 716: C–S stretch; ring breathing (generic) | 962: symmetric stretch (PO4 / ring breathing) (generic) | 1206: C–C stretch; in-plane bending (generic) | 1496: ring stretch; amide II (generic) | 1638: amide I; C=C stretch (generic),1,coenzyme a;ergothioneine;glutathione,shared chemistry
