dataset_id,base_dataset_id,dedup_group_id,variant_type,dataset_name,source,application_type,task_type,modality,experimental_vs_computational,sample_type,biological_matrix,analyte_type,n_spectra,wavenumber_range_min,wavenumber_range_max,axis_uniformity,preprocessing_status,preprocessing_notes,paper_or_doi,source_url,license,download_requirements,full_name,description_excerpt,contains_cohort_labels,contains_disease_labels,contains_computed_spectra,mixed_modality,missing_metadata
organic_compounds_raw,organic_compounds,DG030,preprocessing,Organic Compounds (Raw),GoogleDrive,Chemical,Classification,Raman,Experimental,pure_compound,n/a,small_molecule_drug,,unknown,unknown,unknown,raw,,https://doi.org/10.1002/jrs.5750,https://data.dtu.dk/api/files/36144495,unknown,none,Organic Compounds Multi-Excitation Dataset - Raw,Raw Raman spectra of organic compounds collected with several different excitation sources. Designed to benchmark transfer learning and domain adaptation for chemical identification with limited data.,no,no,no,no,no
rruff_mineral_preprocess,rruff_mineral,DG034,preprocessing,RRUFF Minerals (Preprocess),GoogleDrive,MaterialScience,Classification,Raman,Experimental,material,mineral,mineral,,unknown,unknown,unknown,preprocessed_other,,https://doi.org/10.1515/9783110417104-003,https://rruff.info/,Free access,none,RRUFF Database - Preprocess Spectra,"Comprehensive resource of raw Raman spectra for over 1,000 mineral species, representing a diverse array of crystallographic structures and chemical compositions measured under varying experimental conditions (e.g., 532 nm and 785 nm).",no,no,no,no,no
rruff_mineral_raw,rruff_mineral,DG034,preprocessing,RRUFF Minerals (Raw),GoogleDrive,MaterialScience,Classification,Raman,Experimental,material,mineral,mineral,,unknown,unknown,unknown,raw,,https://doi.org/10.1515/9783110417104-003,https://rruff.info/,Free access,none,RRUFF Database - Raw Spectra,"Comprehensive resource of raw Raman spectra for over 1,000 mineral species, representing a diverse array of crystallographic structures and chemical compositions measured under varying experimental conditions (e.g., 532 nm and 785 nm).",no,no,no,no,no
bioprocess_analytes_anton_532,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Anton 532,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesAnton532,CC BY 4.0,none,Bioprocess Analytes Anton 532,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_anton_785,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Anton 785,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesAnton785,CC BY 4.0,none,Bioprocess Analytes Anton 785,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_kaiser,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Kaiser,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesKaiser,CC BY 4.0,none,Bioprocess Analytes Kaiser,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_metrohm,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Metrohm,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesMetrohm,CC BY 4.0,none,Bioprocess Analytes Metrohm,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_mettler_toledo,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Mettler Toledo,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesMettlerToledo,CC BY 4.0,none,Bioprocess Analytes Mettler Toledo,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_tec5,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Tec5,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesTec5,CC BY 4.0,none,Bioprocess Analytes Tec5,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_timegate,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Timegate,HuggingFace,Biological,Regression,TimeGatedRaman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesTimegate,CC BY 4.0,none,Bioprocess Analytes Timegate,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_analytes_tornado,bioprocess_analytes,DG006,instrument,Bioprocess Analytes Tornado,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.saa.2025.125861,https://huggingface.co/datasets/chlange/RamanSpectraBioprocessAnalystesTornado,CC BY 4.0,none,Bioprocess Analytes Tornado,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. It is part of a series of 8 datasets that use eight different spectrometers that measure nearly the same samples. Some datasets have a bit mo",no,no,no,no,no
bioprocess_substrates,bioprocess_substrates,DG007,none,Bioprocess Monitoring,HuggingFace,Biological,Regression,Raman,Experimental,material,mineral,metabolite,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.measurement.2025.118884,https://huggingface.co/datasets/chlange/SubstrateMixRaman,CC BY 4.0,none,Bioprocess Monitoring Raman Dataset,"A benchmark dataset of 6,960 spectra featuring eight key metabolites (glucose, glycerol, acetate, etc.) sampled via a statistically independent uniform distribution. Designed to evaluate regression robustness against common bioprocess corre",no,no,no,no,no
ecoli_fermentation,ecoli_fermentation,DG015,none,E. Coli Fermentation,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/bit.70006,https://huggingface.co/datasets/chlange/RamanSpectraEcoliFermentation,CC BY 4.0,none,E. Coli Fermentation Raman Dataset,"Spectra captured during batch and fed-batch fermentation of E. coli. Measurements were performed on the supernatant using a 785 nm spectrometer to track glucose and acetate concentrations in a dynamic, high-throughput bioprocess environment",no,no,no,no,no
ecoli_metabolites,ecoli_metabolites,DG016,none,Bioprocess Analytes E. Coli Metabolites,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,metabolite,,unknown,unknown,unknown,unknown,,,https://huggingface.co/datasets/HTW-KI-Werkstatt/RamanSpectraEcoliMetabolites,CC BY 4.0,none,Bioprocess Analytes E. Coli Metabolites,This dataset contains Raman spectra of mixtures of glucose and sodium acetate which are the most important metabolites during Ecoli Fermentations. The spectra were measured with a liquid handling station and a system for automatic Raman spe,no,no,no,no,yes
ecoli_metabolites_dig4bio,ecoli_metabolites_dig4bio,DG017,none,E. Coli Metabolites Dig4Bio,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,metabolite,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/bit.70006,https://huggingface.co/datasets/HTW-KI-Werkstatt/RamanSpectraEcoliMetabolitesDig4Bio,CC BY 4.0,none,E. Coli Metabolites Dig4Bio,"This dataset contains Raman spectra of mixtures of glucose, sodium acetate, and magnesium sulfate. These components are important during E. Coli fermentation processes. The spectra were measured with a liquid handling station and a system f",no,no,no,no,no
fuel_benchtop,fuel_benchtop,DG019,none,Gasoline Properties (Benchtop),HuggingFace,Chemical,Regression,FT-Raman,Experimental,material,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.fuel.2018.09.006,https://huggingface.co/datasets/chlange/FuelRamanSpectraBenchtop,CC BY 4.0,none,Gasoline Properties Raman Dataset (Benchtop),"Raman spectra from 179 commercial gasoline samples recorded using a benchtop 1064 nm FT-Raman system. Targets include Research Octane Number (RON), Motor Octane Number (MON), and oxygenated additive concentrations.",no,no,no,no,no
fuel_handheld,fuel_handheld,DG020,none,Gasoline Properties (Handheld),HuggingFace,Chemical,Regression,Raman,Experimental,material,fuel,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1021/acs.energyfuels.9b02944,https://huggingface.co/datasets/HTW-KI-Werkstatt/FuelRamanSpectraHandheld,CC BY 4.0,none,Gasoline Properties Raman Dataset (Handheld),"Counterpart to the benchtop fuel dataset, acquired from the same 179 samples using a handheld 785 nm spectrometer. Used for benchmarking model transferability across different hardware and wavelengths.",no,no,no,no,no
ht_raman_bio_catalysis_axp,ht_raman_bio_catalysis_axp,DG023,none,Bio-Catalysis Monitoring of AXP,HuggingFace,Biological,Regression,Raman,Experimental,unknown,n/a,unknown,,unknown,unknown,unknown,unknown,,,https://huggingface.co/datasets/chlange/HTRamanBioCatalysisAXP,CC BY 4.0,none,High-Throughput Raman Spectroscopic Monitoring of Adenosine Phosphates,This dataset consists of Raman spectra tailored for the real-time monitoring of biocatalytic reactions. A key feature of this data is the use of Deep Eutectic Solvents (DES) as the reaction medium.,no,no,no,no,yes
kaiser_ecoli_fermentation,kaiser_ecoli_fermentation,DG025,matrix_supernatant_or_full,Kaiser Raman E. coli Fermentation,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/btpr.2665,https://huggingface.co/datasets/chlange/kaiser_raman_ecoli_fermentation,CC BY 4.0,none,Kaiser E. coli Fermentation,Raman spectra collected during E. coli fermentation using a Kaiser spectrometer.,no,no,no,no,no
kaiser_ecoli_fermentation_supernatant,kaiser_ecoli_fermentation,DG025,matrix_supernatant_or_full,Kaiser Raman E. coli Fermentation Supernatant,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/btpr.2665,https://huggingface.co/datasets/chlange/kaiser_raman_ecoli_fermentation_supernatant,CC BY 4.0,none,Kaiser E. coli Fermentation Supernatant,"Raman spectra collected during E. coli fermentation, measured on the supernatant using a Kaiser spectrometer.",no,no,no,no,no
ralstonia_fermentations,ralstonia_fermentations,DG033,none,R. eutropha Copolymer Fermentations,HuggingFace,Biological,Regression,Raman,Experimental,mixture,polymer,polymer_or_pigment,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/B978-0-443-28824-1.50510-X,https://huggingface.co/datasets/HTW-KI-Werkstatt/RamanSpectraRalstoniaFermentations,CC BY 4.0,none,R. eutropha Copolymer Fermentation Raman Dataset,Monitoring of P(HB-co-HHx) copolymer synthesis in Ralstonia eutropha batch cultivations. Includes a hybrid mix of experimental and high-fidelity synthetic data to handle high multicollinearity between process variables.,no,no,no,no,no
streptococcus_thermophilus_fermentation_kaiser,streptococcus_thermophilus_fermentation_kaiser,DG038,none,Streptococcus thermophilus Fermentations Kaiser,HuggingFace,Biological,Regression,Raman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,,https://huggingface.co/datasets/chlange/streptococcus_thermophilus_fermentation_kaiser,CC BY 4.0,none,Streptococcus thermophilus Fermentations Kaiser,This dataset contains offline Raman spectra collected during batch cultivations of Streptococcus thermophilus. The spectra were measured using a Kaiser RXN1. The dataset includes two distinct fermentation runs conducted in shake flasks over,no,no,no,no,yes
streptococcus_thermophilus_fermentation_timegate,streptococcus_thermophilus_fermentation_timegate,DG039,none,Time-Gated Streptococcus thermophilus Fermentations,HuggingFace,Biological,Regression,TimeGatedRaman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,,https://huggingface.co/datasets/chlange/streptococcus_thermophilus_fermentation_timegate,CC BY 4.0,none,Time-Gated Streptococcus thermophilus Fermentations,"This dataset contains offline Raman spectra collected during batch cultivations of Streptococcus thermophilus. Unlike conventional continuous-wave Raman, these measurements were captured using Time-Gated Raman Spectroscopy. The dataset incl",no,no,no,no,yes
tg_ecoli_fermentation,tg_ecoli_fermentation,DG042,matrix_supernatant_or_full,Time-Gated Raman E. coli Fermentation,HuggingFace,Biological,Regression,TimeGatedRaman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/btpr.2665,https://huggingface.co/datasets/chlange/tg_raman_ecoli_fermentation,CC BY 4.0,none,Time-Gated E. coli Fermentation,Raman spectra collected during E. coli fermentation using Time-Gated Raman Spectroscopy.,no,no,no,no,no
tg_ecoli_fermentation_supernatant,tg_ecoli_fermentation,DG042,matrix_supernatant_or_full,Time-Gated Raman E. coli Fermentation Supernatant,HuggingFace,Biological,Regression,TimeGatedRaman,Experimental,mixture,n/a,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/btpr.2665,https://huggingface.co/datasets/chlange/tg_raman_ecoli_fermentation_supernatant,CC BY 4.0,none,Time-Gated E. coli Fermentation Supernatant,"Raman spectra collected during E. coli fermentation, measured on the supernatant using Time-Gated Raman Spectroscopy.",no,no,no,no,no
yeast_fermentation,yeast_fermentation,DG044,none,Yeast Fermentation,HuggingFace,Biological,Regression,Raman,Experimental,mixture,yeast,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1002/bit.27112,https://huggingface.co/datasets/HTW-KI-Werkstatt/RamanSpectraEthanolicYeastFermentations,CC BY 4.0,none,Ethanolic Yeast Fermentation Raman Dataset,"This dataset contains Raman spectra acquired during the continuous ethanolic fermentation of sucrose using Saccharomyces cerevisiae (Baker's yeast). To facilitate continuous processing and high-quality optical measurements, the yeast cells ",no,no,no,no,no
amino_acids_glycine,amino_acids_lc_raman,DG003,analyte,Amino Acid LC (Glycine),Kaggle,Chemical,Regression,Raman,Experimental,pure_compound,n/a,amino_acid,,unknown,unknown,unknown,unknown,savitzky_golay,https://arxiv.org/abs/2011.07470,https://www.kaggle.com/datasets/sergioalejandrod/raman-spectroscopy,Requested from authors,kaggle,Amino Acid LC (Glycine),"Time-resolved LC-Raman spectra for Glycine elution using the vertical flow method (Lo, Hiramatsu lab, NCTU Taiwan). Glycine injected at 100 mM into an HPLC system (hydrophobic resin column, H₂O→ACE gradient, 7 mL/min, 50 µL injection). Time",no,no,no,no,no
amino_acids_leucine,amino_acids_lc_raman,DG003,analyte,Amino Acid LC (Leucine),Kaggle,Chemical,Regression,Raman,Experimental,pure_compound,n/a,amino_acid,,unknown,unknown,unknown,unknown,savitzky_golay,https://arxiv.org/abs/2011.07470,https://www.kaggle.com/datasets/sergioalejandrod/raman-spectroscopy,Requested from authors,kaggle,Amino Acid LC (Leucine),"Time-resolved LC-Raman spectra for Leucine elution using the vertical flow method (Lo, Hiramatsu lab, NCTU Taiwan). Leucine injected at 100 mM into an HPLC system (hydrophobic resin column, H₂O→ACE gradient, 7 mL/min, 50 µL injection). Time",no,no,no,no,no
amino_acids_phenylalanine,amino_acids_lc_raman,DG003,analyte,Amino Acid LC (Phenylalanine),Kaggle,Chemical,Regression,Raman,Experimental,pure_compound,n/a,amino_acid,,unknown,unknown,unknown,unknown,savitzky_golay,https://arxiv.org/abs/2011.07470,https://www.kaggle.com/datasets/sergioalejandrod/raman-spectroscopy,Requested from authors,kaggle,Amino Acid LC (Phenylalanine),"Time-resolved LC-Raman spectra for Phenylalanine elution using the vertical flow method (Lo, Hiramatsu lab, NCTU Taiwan). Phenylalanine injected at 55 mM into an HPLC system (hydrophobic resin column, H₂O→ACE gradient, 7 mL/min, 50 µL injec",no,no,no,no,no
amino_acids_tryptophan,amino_acids_lc_raman,DG003,analyte,Amino Acid LC (Tryptophan),Kaggle,Chemical,Regression,Raman,Experimental,pure_compound,n/a,amino_acid,,unknown,unknown,unknown,unknown,savitzky_golay,https://arxiv.org/abs/2011.07470,https://www.kaggle.com/datasets/sergioalejandrod/raman-spectroscopy,Requested from authors,kaggle,Amino Acid LC (Tryptophan),"Time-resolved LC-Raman spectra for Tryptophan elution using the vertical flow method (Lo, Hiramatsu lab, NCTU Taiwan). Tryptophan injected at 55 mM into an HPLC system (hydrophobic resin column, H₂O→ACE gradient, 7 mL/min, 50 µL injection).",no,no,no,no,no
cancer_cell_(cooh)2,cancer_cell,DG008,substrate_functionalization,Cancer Cell Metabolite ((COOH)2),Kaggle,Biological,Classification,SERS,Experimental,pure_compound,skin,amino_acid,,unknown,unknown,unknown,normalized,baseline_corrected;minmax,https://doi.org/10.1016/j.snb.2020.127660,https://www.kaggle.com/datasets/andriitrelin/cells-raman-spectra,CC BY-NC-SA 4.0,kaggle,andriitrelin_cells-raman-spectra,"SERS spectra of conditioned cell culture media metabolites entrapped on gold multibranched nanoparticles (AuMs, ~50 nm) functionalized with (COOH)2. 12 sample categories from Table 1 (Erzina et al. 2020): A2058/G361 melanoma cells, HPM mela",yes,yes,no,no,no
cancer_cell_cooh,cancer_cell,DG008,substrate_functionalization,Cancer Cell Metabolite (COOH),Kaggle,Biological,Classification,SERS,Experimental,cells,skin,protein,,unknown,unknown,unknown,normalized,baseline_corrected;minmax,https://doi.org/10.1016/j.snb.2020.127660,https://www.kaggle.com/datasets/andriitrelin/cells-raman-spectra,CC BY-NC-SA 4.0,kaggle,andriitrelin_cells-raman-spectra,"SERS spectra of conditioned cell culture media metabolites entrapped on gold multibranched nanoparticles (AuMs, ~50 nm) functionalized with COOH. 12 sample categories from Table 1 (Erzina et al. 2020): A2058/G361 melanoma cells, HPM melanoc",yes,yes,no,no,no
cancer_cell_nh2,cancer_cell,DG008,substrate_functionalization,Cancer Cell Metabolite (NH2),Kaggle,Biological,Classification,SERS,Experimental,pure_compound,skin,amino_acid,,unknown,unknown,unknown,normalized,baseline_corrected;minmax,https://doi.org/10.1016/j.snb.2020.127660,https://www.kaggle.com/datasets/andriitrelin/cells-raman-spectra,CC BY-NC-SA 4.0,kaggle,andriitrelin_cells-raman-spectra,"SERS spectra of conditioned cell culture media metabolites entrapped on gold multibranched nanoparticles (AuMs, ~50 nm) functionalized with NH2. 12 sample categories from Table 1 (Erzina et al. 2020): A2058/G361 melanoma cells, HPM melanocy",yes,yes,no,no,no
diabetes_skin_ages,diabetes_skin,DG014,anatomical_position,Diabetes Skin (AGEs),Kaggle,Medical,Classification,Raman,Experimental,pure_compound,skin,unknown,,800,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1364/BOE.9.004998,https://www.kaggle.com/datasets/codina/raman-spectroscopy-of-diabetes,Optica OAPA,kaggle,codina_raman-spectroscopy-of-diabetes,"In vivo portable Raman spectra of human skin at the AGEs site for DM2 screening. 11 type 2 diabetes patients (7F, 49.5±6.7 y) and 9 healthy controls (7F, 33.2±4.9 y), University of Guanajuato, Mexico, IRB approved. PEK-785 spectrometer (Agi",yes,yes,no,no,no
diabetes_skin_ear_lobe,diabetes_skin,DG014,anatomical_position,Diabetes Skin (Ear Lobe),Kaggle,Medical,Classification,Raman,Experimental,pure_compound,skin,unknown,,800,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1364/BOE.9.004998,https://www.kaggle.com/datasets/codina/raman-spectroscopy-of-diabetes,Optica OAPA,kaggle,codina_raman-spectroscopy-of-diabetes,"In vivo portable Raman spectra of human skin at the Ear Lobe site for DM2 screening. 11 type 2 diabetes patients (7F, 49.5±6.7 y) and 9 healthy controls (7F, 33.2±4.9 y), University of Guanajuato, Mexico, IRB approved. PEK-785 spectrometer ",yes,yes,no,no,no
diabetes_skin_inner_arm,diabetes_skin,DG014,anatomical_position,Diabetes Skin (Inner Arm),Kaggle,Medical,Classification,Raman,Experimental,pure_compound,skin,unknown,,800,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1364/BOE.9.004998,https://www.kaggle.com/datasets/codina/raman-spectroscopy-of-diabetes,Optica OAPA,kaggle,codina_raman-spectroscopy-of-diabetes,"In vivo portable Raman spectra of human skin at the Inner Arm site for DM2 screening. 11 type 2 diabetes patients (7F, 49.5±6.7 y) and 9 healthy controls (7F, 33.2±4.9 y), University of Guanajuato, Mexico, IRB approved. PEK-785 spectrometer",yes,yes,no,no,no
diabetes_skin_thumbnail,diabetes_skin,DG014,anatomical_position,Diabetes Skin (Thumbnail),Kaggle,Medical,Classification,Raman,Experimental,pure_compound,skin,unknown,,800,1800,unknown,normalized,baseline_corrected;area_norm,https://doi.org/10.1364/BOE.9.004998,https://www.kaggle.com/datasets/codina/raman-spectroscopy-of-diabetes,Optica OAPA,kaggle,codina_raman-spectroscopy-of-diabetes,"In vivo portable Raman spectra of human skin at the Thumbnail site for DM2 screening. 11 type 2 diabetes patients (7F, 49.5±6.7 y) and 9 healthy controls (7F, 33.2±4.9 y), University of Guanajuato, Mexico, IRB approved. PEK-785 spectrometer",yes,yes,no,no,no
